,player,1_RBI_rate_under,2_RBI_rate_under,3_RBI_rate_under,4_RBI_rate_under
0,Aaron Judge,0.4067796610169492,0.1694915254237288,0.13559322033898305,0.03389830508474576
1,Adam Frazier,0.1794871794871795,0.05128205128205128,0.0,0.0
2,Adley Rutschman,0.16981132075471697,0.05660377358490566,0.018867924528301886,0.0
3,Adolis Garcia,0.20408163265306123,0.061224489795918366,0.02040816326530612,0.0
4,Alec Burleson,0.296875,0.15625,0.046875,0.0
5,Alejandro Kirk,0.375,0.1,0.025,0.0
6,Alex Bregman,0.32,0.1,0.08,0.04
7,Alex Verdugo,0.19444444444444445,0.027777777777777776,0.0,0.0
8,Andres Gimenez,0.16129032258064516,0.06451612903225806,0.016129032258064516,0.0
9,Andrew Benintendi,0.3,0.1,0.02,0.0
10,Andrew McCutchen,0.3,0.08,0.06,0.02
11,Andy Ibanez,0.15217391304347827,0.06521739130434782,0.021739130434782608,0.0
12,Andy Pages,0.21428571428571427,0.09523809523809523,0.0,0.0
13,Anthony Santander,0.2631578947368421,0.07017543859649122,0.03508771929824561,0.017543859649122806
14,Anthony Volpe,0.19298245614035087,0.07017543859649122,0.017543859649122806,0.0
15,Austin Wells,0.40816326530612246,0.14285714285714285,0.10204081632653061,0.061224489795918366
16,Ben Rice,0.28205128205128205,0.15384615384615385,0.02564102564102564,0.0
17,Bo Naylor,0.16981132075471697,0.05660377358490566,0.05660377358490566,0.0
18,Bobby Witt Jr.,0.43137254901960786,0.0784313725490196,0.0392156862745098,0.0196078431372549
19,Brandon Lowe,0.35714285714285715,0.07142857142857142,0.0,0.0
20,Brandon Nimmo,0.2608695652173913,0.08695652173913043,0.08695652173913043,0.0
21,Brayan Rocchio,0.1864406779661017,0.03389830508474576,0.01694915254237288,0.01694915254237288
22,Brendan Donovan,0.26666666666666666,0.05,0.03333333333333333,0.0
23,Brendan Rodgers,0.20634920634920634,0.07936507936507936,0.047619047619047616,0.0
24,Brent Rooker,0.3870967741935484,0.22580645161290322,0.08064516129032258,0.03225806451612903
25,Brenton Doyle,0.3230769230769231,0.1076923076923077,0.03076923076923077,0.0
26,Brooks Baldwin,0.23529411764705882,0.08823529411764706,0.029411764705882353,0.0
27,Bryan Reynolds,0.2727272727272727,0.13636363636363635,0.06060606060606061,0.030303030303030304
28,Bryce Harper,0.24615384615384617,0.13846153846153847,0.015384615384615385,0.0
29,Bryson Stott,0.22950819672131148,0.06557377049180328,0.03278688524590164,0.0
30,Byron Buxton,0.35555555555555557,0.13333333333333333,0.022222222222222223,0.0
31,CJ Abrams,0.2,0.09090909090909091,0.0,0.0
32,Carlos Santana,0.26229508196721313,0.06557377049180328,0.0,0.0
33,Ceddanne Rafaela,0.25396825396825395,0.1111111111111111,0.015873015873015872,0.015873015873015872
34,Cedric Mullins,0.20754716981132076,0.07547169811320754,0.018867924528301886,0.018867924528301886
35,Christopher Morel,0.15,0.016666666666666666,0.0,0.0
36,Colton Cowser,0.24324324324324326,0.08108108108108109,0.05405405405405406,0.0
37,Corey Seager,0.3611111111111111,0.2222222222222222,0.1111111111111111,0.0
38,Daniel Schneemann,0.1702127659574468,0.0,0.0,0.0
39,Danny Jansen,0.1282051282051282,0.02564102564102564,0.02564102564102564,0.02564102564102564
40,Dansby Swanson,0.2727272727272727,0.11363636363636363,0.045454545454545456,0.022727272727272728
41,Daulton Varsho,0.225,0.05,0.025,0.025
42,Davis Schneider,0.0967741935483871,0.03225806451612903,0.0,0.0
43,Donovan Solano,0.11764705882352941,0.029411764705882353,0.029411764705882353,0.0
44,Dylan Crews,0.15384615384615385,0.05128205128205128,0.0,0.0
45,Dylan Moore,0.13043478260869565,0.043478260869565216,0.021739130434782608,0.021739130434782608
46,Elias Diaz,0.15151515151515152,0.06060606060606061,0.0,0.0
47,Elly De La Cruz,0.21875,0.109375,0.03125,0.03125
48,Emmanuel Rivera,0.16666666666666666,0.05555555555555555,0.0,0.0
49,Ernie Clement,0.21052631578947367,0.017543859649122806,0.017543859649122806,0.0
50,Francisco Lindor,0.32608695652173914,0.15217391304347827,0.08695652173913043,0.06521739130434782
51,Freddie Freeman,0.30612244897959184,0.1836734693877551,0.061224489795918366,0.02040816326530612
52,Freddy Fermin,0.21621621621621623,0.02702702702702703,0.0,0.0
53,Garrett Mitchell,0.14285714285714285,0.0,0.0,0.0
54,Gavin Sheets,0.19607843137254902,0.0392156862745098,0.0196078431372549,0.0196078431372549
55,George Springer,0.19298245614035087,0.10526315789473684,0.07017543859649122,0.0
56,Geraldo Perdomo,0.328125,0.109375,0.046875,0.015625
57,Gleyber Torres,0.24444444444444444,0.044444444444444446,0.022222222222222223,0.0
58,Gunnar Henderson,0.2222222222222222,0.1111111111111111,0.0,0.0
59,Harrison Bader,0.20930232558139536,0.046511627906976744,0.023255813953488372,0.0
60,Heliot Ramos,0.31343283582089554,0.11940298507462686,0.014925373134328358,0.014925373134328358
61,Ian Happ,0.23255813953488372,0.11627906976744186,0.09302325581395349,0.023255813953488372
62,Isaac Paredes,0.2786885245901639,0.09836065573770492,0.01639344262295082,0.0
63,JJ Bleday,0.2833333333333333,0.06666666666666667,0.03333333333333333,0.016666666666666666
64,Jackson Chourio,0.25,0.11538461538461539,0.057692307692307696,0.038461538461538464
65,Jackson Holliday,0.2564102564102564,0.07692307692307693,0.02564102564102564,0.0
66,Jackson Merrill,0.2777777777777778,0.1388888888888889,0.027777777777777776,0.027777777777777776
67,Jacob Young,0.13793103448275862,0.017241379310344827,0.0,0.0
68,Jake Fraley,0.1590909090909091,0.09090909090909091,0.06818181818181818,0.022727272727272728
69,Jake McCarthy,0.25,0.13636363636363635,0.06818181818181818,0.045454545454545456
