,home_player,home_RBI,away_team,games_played,home_AB,home_BB,home_K
7061,Matt Thaiss,0.0,MIA,1,1.0,0.0,1.0
7062,Jacob Amaya,0.0,MIA,1,0.0,0.0,0.0
7063,,1.0,MIA,1,30.0,2.0,6.0
7064,,,MIA,1,,,
7065,Francisco Lindor,0.0,CHC,1,4.0,1.0,1.0
7066,Juan Soto,0.0,CHC,1,5.0,0.0,2.0
7067,Pete Alonso,0.0,CHC,1,4.0,0.0,1.0
7068,Brandon Nimmo,0.0,CHC,1,4.0,0.0,2.0
7069,Mark Vientos,0.0,CHC,1,4.0,0.0,1.0
7070,Luisangel Acuna,0.0,CHC,1,4.0,0.0,2.0
7071,Brett Baty,5.0,CHC,1,4.0,0.0,1.0
7072,Francisco Alvarez,0.0,CHC,1,3.0,0.0,1.0
7073,Taylor Ward,0.0,CHC,1,2.0,0.0,1.0
7074,Jeff McNeil,0.0,CHC,1,0.0,1.0,0.0
7075,Jose Azocar,0.0,CHC,1,0.0,0.0,0.0
7076,,5.0,CHC,1,34.0,2.0,12.0
7077,Byron Buxton,0.0,SFG,1,4.0,0.0,4.0
7078,Trevor Larnach,2.0,SFG,1,4.0,0.0,1.0
7079,Ty France,0.0,SFG,1,4.0,0.0,3.0
7080,Brooks Lee,0.0,SFG,1,3.0,0.0,1.0
7081,Carlos Correa,0.0,SFG,1,3.0,0.0,1.0
7082,Willi Castro,0.0,SFG,1,3.0,0.0,0.0
7083,Royce Lewis,0.0,SFG,1,3.0,0.0,0.0
7084,DaShawn Keirsey Jr.,0.0,SFG,1,0.0,0.0,0.0
7085,Harrison Bader,0.0,SFG,1,3.0,0.0,0.0
7086,Christian Vazquez,0.0,SFG,1,2.0,1.0,2.0
7087,,2.0,SFG,1,29.0,1.0,12.0
7088,Brenton Doyle,0.0,SDP,1,2.0,0.0,1.0
7089,Sean Bouchard,0.0,SDP,1,2.0,0.0,2.0
7090,Jordan Beck,0.0,SDP,1,4.0,0.0,1.0
7091,Ryan McMahon,0.0,SDP,1,1.0,1.0,0.0
7092,Owen Miller,0.0,SDP,1,2.0,0.0,0.0
7093,Hunter Goodman,0.0,SDP,1,4.0,0.0,0.0
7094,Michael Toglia,0.0,SDP,1,4.0,0.0,2.0
7095,Mickey Moniak,0.0,SDP,1,3.0,0.0,0.0
7096,Nick Martini,0.0,SDP,1,3.0,0.0,0.0
7097,Alan Trejo,0.0,SDP,1,3.0,0.0,0.0
7098,Adael Amador,0.0,SDP,1,2.0,1.0,1.0
7099,,0.0,SDP,1,30.0,2.0,7.0
7100,,,SDP,1,,,
7101,Corbin Carroll,0.0,LAD,1,4.0,0.0,1.0
7102,Ketel Marte,1.0,LAD,1,4.0,0.0,0.0
7103,Pavin Smith,1.0,LAD,1,4.0,0.0,1.0
7104,Josh Naylor,0.0,LAD,1,4.0,0.0,1.0
7105,Eugenio Suarez,1.0,LAD,1,4.0,0.0,2.0
7106,Eugenio Suarez,1.0,ATH,1,4.0,0.0,2.0
7107,Gabriel Moreno,0.0,BAL,1,4.0,0.0,1.0
7108,Alek Thomas,0.0,LAD,1,3.0,0.0,1.0
7109,Tim Tawa,0.0,LAD,1,2.0,1.0,0.0
7110,Garrett Hampson,0.0,LAD,1,0.0,0.0,0.0
7111,Geraldo Perdomo,0.0,LAD,1,3.0,0.0,1.0
7112,,3.0,LAD,1,32.0,1.0,8.0
