player,1_RBI_rate_over,2_RBI_rate_over,3_RBI_rate_over,4_RBI_rate_over
Taylor Ward,0.43902439024390244,0.14634146341463414,0.0,0.0
Willson Contreras,0.4411764705882353,0.20588235294117646,0.0,0.0
