player,1_runs_rate_under,2_runs_rate_under,3_runs_rate_under,4_runs_rate_under
Max Muncy,0.09523809523809523,0.0,0.0,0.0
Willson Contreras,0.4117647058823529,0.09803921568627451,0.0,0.0
