player,1_hits_rate_under,2_hits_rate_under,3_hits_rate_under,4_hits_rate_under
Taylor Ward,0.5945945945945946,0.16216216216216217,0.02702702702702703,0.0
Willson Contreras,0.6078431372549019,0.13725490196078433,0.0196078431372549,0.0
