player,1_hits_rate_over,2_hits_rate_over,3_hits_rate_over,4_hits_rate_over
Taylor Ward,0.625,0.225,0.025,0.0
Willson Contreras,0.6666666666666666,0.3333333333333333,0.030303030303030304,0.030303030303030304
