player,1_runs_count,2_runs_count,3_runs_count,4_runs_count,games_played,1_runs_rate,2_runs_rate,3_runs_rate,4_runs_rate
Cal Raleigh,19,7,1,0,43,0.4418604651162791,0.16279069767441862,0.023255813953488372,0.0
Cal Stevenson,0,0,0,0,5,0.0,0.0,0.0,0.0
Caleb Durbin,6,0,0,0,27,0.2222222222222222,0.0,0.0,0.0
Cam Smith,12,2,0,0,32,0.375,0.0625,0.0,0.0
Carlos Correa,11,2,0,0,39,0.28205128205128205,0.05128205128205128,0.0,0.0
Carlos Narvaez,12,3,0,0,30,0.4,0.1,0.0,0.0
Carlos Santana,15,5,0,0,42,0.35714285714285715,0.11904761904761904,0.0,0.0
Carson Kelly,11,3,3,0,28,0.39285714285714285,0.10714285714285714,0.10714285714285714,0.0
Carson McCusker,0,0,0,0,2,0.0,0.0,0.0,0.0
Casey Legumina,0,0,0,0,1,0.0,0.0,0.0,0.0
Casey Schmitt,1,0,0,0,8,0.125,0.0,0.0,0.0
Cavan Biggio,8,0,0,0,32,0.25,0.0,0.0,0.0
Ceddanne Rafaela,19,5,1,0,41,0.4634146341463415,0.12195121951219512,0.024390243902439025,0.0
Cedric Mullins,16,6,0,0,39,0.41025641025641024,0.15384615384615385,0.0,0.0
Chadwick Tromp,0,0,0,0,2,0.0,0.0,0.0,0.0
Chandler Simpson,9,3,0,0,21,0.42857142857142855,0.14285714285714285,0.0,0.0
Chas McCormick,2,1,1,0,28,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.0
Chase Meidroth,8,2,0,0,22,0.36363636363636365,0.09090909090909091,0.0,0.0
Chris Taylor,4,0,0,0,26,0.15384615384615385,0.0,0.0,0.0
Christian Encarnacion-Strand,4,0,0,0,15,0.26666666666666666,0.0,0.0,0.0
Christian Koss,6,0,0,0,25,0.24,0.0,0.0,0.0
Christian Vazquez,4,0,0,0,22,0.18181818181818182,0.0,0.0,0.0
Christian Walker,16,2,0,0,42,0.38095238095238093,0.047619047619047616,0.0,0.0
Christian Yelich,14,8,1,0,43,0.32558139534883723,0.18604651162790697,0.023255813953488372,0.0
Christopher Morel,11,3,0,0,37,0.2972972972972973,0.08108108108108109,0.0,0.0
Coby Mayo,0,0,0,0,4,0.0,0.0,0.0,0.0
Coco Montes,0,0,0,0,5,0.0,0.0,0.0,0.0
Cody Bellinger,17,5,1,0,41,0.4146341463414634,0.12195121951219512,0.024390243902439025,0.0
Colin Rea,0,0,0,0,1,0.0,0.0,0.0,0.0
Colt Keith,13,5,1,0,41,0.3170731707317073,0.12195121951219512,0.024390243902439025,0.0
Colton Cowser,2,0,0,0,4,0.5,0.0,0.0,0.0
Connor Joe,1,0,0,0,11,0.09090909090909091,0.0,0.0,0.0
Connor Norby,10,4,0,0,24,0.4166666666666667,0.16666666666666666,0.0,0.0
Connor Wong,3,0,0,0,16,0.1875,0.0,0.0,0.0
Corbin Carroll,23,12,0,0,45,0.5111111111111111,0.26666666666666666,0.0,0.0
Corey Seager,11,3,1,0,26,0.4230769230769231,0.11538461538461539,0.038461538461538464,0.0
Curtis Mead,1,0,0,0,26,0.038461538461538464,0.0,0.0,0.0
DJ LeMahieu,1,0,0,0,4,0.25,0.0,0.0,0.0
DaShawn Keirsey Jr.,2,0,0,0,33,0.06060606060606061,0.0,0.0,0.0
Dairon Blanco,2,0,0,0,5,0.4,0.0,0.0,0.0
Dalton Rushing,0,0,0,0,2,0.0,0.0,0.0,0.0
Dane Myers,9,3,0,0,29,0.3103448275862069,0.10344827586206896,0.0,0.0
Daniel Schneemann,10,3,0,0,34,0.29411764705882354,0.08823529411764706,0.0,0.0
Danny Jansen,6,1,0,0,29,0.20689655172413793,0.034482758620689655,0.0,0.0
Dansby Swanson,22,10,0,0,44,0.5,0.22727272727272727,0.0,0.0
Daulton Varsho,7,1,0,0,12,0.5833333333333334,0.08333333333333333,0.0,0.0
David Hamilton,8,2,0,0,23,0.34782608695652173,0.08695652173913043,0.0,0.0
David Villar,2,1,0,0,8,0.25,0.125,0.0,0.0
Davis Schneider,2,0,0,0,10,0.2,0.0,0.0,0.0
Daz Cameron,2,0,0,0,10,0.2,0.0,0.0,0.0
Derek Hill,8,1,0,0,15,0.5333333333333333,0.06666666666666667,0.0,0.0
Dillon Dingler,11,3,0,0,33,0.3333333333333333,0.09090909090909091,0.0,0.0
Dominic Canzone,0,0,0,0,2,0.0,0.0,0.0,0.0
Donovan Solano,1,0,0,0,25,0.04,0.0,0.0,0.0
Drake Baldwin,8,1,1,0,27,0.2962962962962963,0.037037037037037035,0.037037037037037035,0.0
Drew Waters,13,2,0,0,31,0.41935483870967744,0.06451612903225806,0.0,0.0
Drey Jameson,0,0,0,0,1,0.0,0.0,0.0,0.0
Dustin Harris,5,0,0,0,17,0.29411764705882354,0.0,0.0,0.0
Dylan Carlson,1,0,0,0,10,0.1,0.0,0.0,0.0
Dylan Crews,17,3,2,1,42,0.40476190476190477,0.07142857142857142,0.047619047619047616,0.023809523809523808
Dylan Moore,16,4,0,0,32,0.5,0.125,0.0,0.0
Eddie Rosario,1,0,0,0,5,0.2,0.0,0.0,0.0
Edgar Quero,5,1,0,0,24,0.20833333333333334,0.041666666666666664,0.0,0.0
Edmundo Sosa,7,1,0,0,21,0.3333333333333333,0.047619047619047616,0.0,0.0
Edouard Julien,6,1,1,0,29,0.20689655172413793,0.034482758620689655,0.034482758620689655,0.0
Eli White,15,4,0,0,37,0.40540540540540543,0.10810810810810811,0.0,0.0
Elias Diaz,11,2,1,0,33,0.3333333333333333,0.06060606060606061,0.030303030303030304,0.0
Elly De La Cruz,22,3,1,1,45,0.4888888888888889,0.06666666666666667,0.022222222222222223,0.022222222222222223
Emmanuel Clase,0,0,0,0,1,0.0,0.0,0.0,0.0
Emmanuel Rivera,2,1,0,0,10,0.2,0.1,0.0,0.0
Endy Rodriguez,4,0,0,0,15,0.26666666666666666,0.0,0.0,0.0
Enmanuel Valdez,7,0,0,0,31,0.22580645161290322,0.0,0.0,0.0
Eric Haase,6,0,0,0,14,0.42857142857142855,0.0,0.0,0.0
Eric Wagaman,16,4,0,0,39,0.41025641025641024,0.10256410256410256,0.0,0.0
Ernie Clement,10,1,0,0,41,0.24390243902439024,0.024390243902439025,0.0,0.0
Eugenio Suarez,19,6,2,1,46,0.41304347826086957,0.13043478260869565,0.043478260869565216,0.021739130434782608
Evan Carter,3,0,0,0,8,0.375,0.0,0.0,0.0
Ezequiel Duran,2,0,0,0,14,0.14285714285714285,0.0,0.0,0.0
Ezequiel Tovar,2,1,1,0,16,0.125,0.0625,0.0625,0.0
Fernando Tatis Jr.,25,10,3,0,42,0.5952380952380952,0.23809523809523808,0.07142857142857142,0.0
Francisco Alvarez,3,0,0,0,16,0.1875,0.0,0.0,0.0
Francisco Lindor,23,5,1,0,45,0.5111111111111111,0.1111111111111111,0.022222222222222223,0.0
Freddie Freeman,17,5,0,0,33,0.5151515151515151,0.15151515151515152,0.0,0.0
Freddy Fermin,7,1,0,0,29,0.2413793103448276,0.034482758620689655,0.0,0.0
Gabriel Arias,19,2,0,0,42,0.4523809523809524,0.047619047619047616,0.0,0.0
Gabriel Moreno,15,1,0,0,35,0.42857142857142855,0.02857142857142857,0.0,0.0
Gage Workman,0,0,0,0,13,0.0,0.0,0.0,0.0
Garrett Hampson,7,3,0,0,18,0.3888888888888889,0.16666666666666666,0.0,0.0
Garrett Mitchell,8,1,0,0,26,0.3076923076923077,0.038461538461538464,0.0,0.0
Gary Sanchez,1,0,0,0,12,0.08333333333333333,0.0,0.0,0.0
Gavin Lux,12,1,1,1,41,0.2926829268292683,0.024390243902439025,0.024390243902439025,0.024390243902439025
Gavin Sheets,12,3,0,0,40,0.3,0.075,0.0,0.0
George Springer,15,6,1,0,40,0.375,0.15,0.025,0.0
Geraldo Perdomo,16,4,0,0,44,0.36363636363636365,0.09090909090909091,0.0,0.0
Gio Urshela,3,0,0,0,29,0.10344827586206896,0.0,0.0,0.0
Gleyber Torres,17,3,0,0,32,0.53125,0.09375,0.0,0.0
Graham Pauley,4,0,0,0,25,0.16,0.0,0.0,0.0
Greg Jones,0,0,0,0,3,0.0,0.0,0.0,0.0
Griffin Conine,8,2,0,0,20,0.4,0.1,0.0,0.0
Griffin Jax,0,0,0,0,1,0.0,0.0,0.0,0.0
Gunnar Henderson,15,5,0,0,34,0.4411764705882353,0.14705882352941177,0.0,0.0
Gustavo Campero,1,0,0,0,5,0.2,0.0,0.0,0.0
Harrison Bader,15,1,0,0,39,0.38461538461538464,0.02564102564102564,0.0,0.0
Hayden Birdsong,0,0,0,0,1,0.0,0.0,0.0,0.0
Hayden Senger,2,1,0,0,13,0.15384615384615385,0.07692307692307693,0.0,0.0
Heliot Ramos,27,4,0,0,44,0.6136363636363636,0.09090909090909091,0.0,0.0
Henry Davis,3,1,0,0,16,0.1875,0.0625,0.0,0.0
Heston Kjerstad,10,0,0,0,36,0.2777777777777778,0.0,0.0,0.0
Hoby Milner,0,0,0,0,1,0.0,0.0,0.0,0.0
Hunter Feduccia,0,0,0,0,2,0.0,0.0,0.0,0.0
Hunter Goodman,16,4,2,0,42,0.38095238095238093,0.09523809523809523,0.047619047619047616,0.0
Hunter Renfroe,4,0,0,0,33,0.12121212121212122,0.0,0.0,0.0
Hyeseong Kim,4,0,0,0,10,0.4,0.0,0.0,0.0
Ian Happ,22,7,0,0,37,0.5945945945945946,0.1891891891891892,0.0,0.0
Isaac Collins,6,1,0,0,31,0.1935483870967742,0.03225806451612903,0.0,0.0
Isaac Paredes,17,2,1,0,42,0.40476190476190477,0.047619047619047616,0.023809523809523808,0.0
Isiah Kiner-Falefa,11,1,0,0,34,0.3235294117647059,0.029411764705882353,0.0,0.0
Ivan Herrera,6,1,1,0,12,0.5,0.08333333333333333,0.08333333333333333,0.0
J.C. Escarra,3,0,0,0,15,0.2,0.0,0.0,0.0
J.D. Davis,0,0,0,0,5,0.0,0.0,0.0,0.0
J.P. Crawford,15,3,0,0,42,0.35714285714285715,0.07142857142857142,0.0,0.0
J.T. Realmuto,12,2,0,0,35,0.34285714285714286,0.05714285714285714,0.0,0.0
JJ Bleday,16,8,2,0,42,0.38095238095238093,0.19047619047619047,0.047619047619047616,0.0
Jack Suwinski,4,0,0,0,16,0.25,0.0,0.0,0.0
Jackson Chourio,20,4,1,0,44,0.45454545454545453,0.09090909090909091,0.022727272727272728,0.0
Jackson Holliday,13,1,0,0,36,0.3611111111111111,0.027777777777777776,0.0,0.0
Jackson Merrill,10,4,0,0,18,0.5555555555555556,0.2222222222222222,0.0,0.0
Jacob Amaya,6,0,0,0,33,0.18181818181818182,0.0,0.0,0.0
Jacob Hurtubise,3,0,0,0,12,0.25,0.0,0.0,0.0
Jacob Stallings,3,1,0,0,21,0.14285714285714285,0.047619047619047616,0.0,0.0
Jacob Wilson,19,5,0,0,42,0.4523809523809524,0.11904761904761904,0.0,0.0
Jacob Young,13,4,0,0,38,0.34210526315789475,0.10526315789473684,0.0,0.0
Jake Bauers,7,1,0,0,26,0.2692307692307692,0.038461538461538464,0.0,0.0
Jake Bird,0,0,0,0,1,0.0,0.0,0.0,0.0
Jake Burger,11,1,1,0,34,0.3235294117647059,0.029411764705882353,0.029411764705882353,0.0
Jake Cronenworth,9,3,0,0,19,0.47368421052631576,0.15789473684210525,0.0,0.0
Jake Fraley,9,3,0,0,28,0.32142857142857145,0.10714285714285714,0.0,0.0
Jake Mangum,5,2,0,0,21,0.23809523809523808,0.09523809523809523,0.0,0.0
Jake McCarthy,2,0,0,0,14,0.14285714285714285,0.0,0.0,0.0
Jake Meyers,16,4,0,0,42,0.38095238095238093,0.09523809523809523,0.0,0.0
Jake Rogers,2,1,0,0,6,0.3333333333333333,0.16666666666666666,0.0,0.0
James Outman,1,1,0,0,6,0.16666666666666666,0.16666666666666666,0.0,0.0
James Wood,22,4,0,0,45,0.4888888888888889,0.08888888888888889,0.0,0.0
Jared Triolo,4,0,0,0,29,0.13793103448275862,0.0,0.0,0.0
Jarred Kelenic,6,1,0,0,23,0.2608695652173913,0.043478260869565216,0.0,0.0
Jarren Duran,18,5,2,0,47,0.3829787234042553,0.10638297872340426,0.0425531914893617,0.0
Jason Heyward,8,1,0,0,29,0.27586206896551724,0.034482758620689655,0.0,0.0
Jasson Dominguez,21,3,1,0,38,0.5526315789473685,0.07894736842105263,0.02631578947368421,0.0
Javier Baez,15,4,2,1,42,0.35714285714285715,0.09523809523809523,0.047619047619047616,0.023809523809523808
Javier Sanoja,9,2,0,0,31,0.2903225806451613,0.06451612903225806,0.0,0.0
Jazz Chisholm Jr.,14,2,1,0,30,0.4666666666666667,0.06666666666666667,0.03333333333333333,0.0
Jeff Hoffman,0,0,0,0,1,0.0,0.0,0.0,0.0
Jeff McNeil,5,1,0,0,18,0.2777777777777778,0.05555555555555555,0.0,0.0
Jeimer Candelario,3,0,0,0,22,0.13636363636363635,0.0,0.0,0.0
Jeremy Pena,17,5,0,0,43,0.3953488372093023,0.11627906976744186,0.0,0.0
Jesse Winker,5,1,1,1,24,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.041666666666666664
Jhonkensy Noel,9,0,0,0,34,0.2647058823529412,0.0,0.0,0.0
Jhonny Pereda,1,1,0,0,14,0.07142857142857142,0.07142857142857142,0.0,0.0
Jo Adell,9,1,0,0,37,0.24324324324324326,0.02702702702702703,0.0,0.0
Joc Pederson,5,0,0,0,37,0.13513513513513514,0.0,0.0,0.0
Joe Mantiply,0,0,0,0,1,0.0,0.0,0.0,0.0
Joey Bart,6,1,0,0,34,0.17647058823529413,0.029411764705882353,0.0,0.0
Joey Ortiz,13,1,1,0,43,0.3023255813953488,0.023255813953488372,0.023255813953488372,0.0
Johan Rojas,8,4,1,0,39,0.20512820512820512,0.10256410256410256,0.02564102564102564,0.0
John Brebbia,0,0,0,0,1,0.0,0.0,0.0,0.0
Jon Berti,9,0,0,0,26,0.34615384615384615,0.0,0.0,0.0
Jonah Bride,4,1,0,0,24,0.16666666666666666,0.041666666666666664,0.0,0.0
Jonah Heim,10,2,1,0,36,0.2777777777777778,0.05555555555555555,0.027777777777777776,0.0
Jonatan Clase,0,0,0,0,6,0.0,0.0,0.0,0.0
Jonathan Aranda,18,1,0,0,39,0.46153846153846156,0.02564102564102564,0.0,0.0
Jonathan India,13,3,1,0,40,0.325,0.075,0.025,0.0
Jonathan Ornelas,0,0,0,0,4,0.0,0.0,0.0,0.0
Jonny DeLuca,4,0,0,0,9,0.4444444444444444,0.0,0.0,0.0
Jorbit Vivas,5,0,0,0,14,0.35714285714285715,0.0,0.0,0.0
Jordan Beck,17,3,0,0,34,0.5,0.08823529411764706,0.0,0.0
Jordan Lawlar,0,0,0,0,1,0.0,0.0,0.0,0.0
Jordan Walker,10,1,0,0,34,0.29411764705882354,0.029411764705882353,0.0,0.0
Jordan Westburg,10,1,1,0,23,0.43478260869565216,0.043478260869565216,0.043478260869565216,0.0
Jorge Barrosa,1,0,0,0,5,0.2,0.0,0.0,0.0
Jorge Mateo,1,0,0,0,17,0.058823529411764705,0.0,0.0,0.0
Jorge Polanco,14,2,1,0,32,0.4375,0.0625,0.03125,0.0
Jorge Soler,13,1,0,0,41,0.3170731707317073,0.024390243902439025,0.0,0.0
Jose Altuve,16,2,0,0,41,0.3902439024390244,0.04878048780487805,0.0,0.0
Jose Azocar,5,0,0,0,10,0.5,0.0,0.0,0.0
Jose Barrero,2,0,0,0,10,0.2,0.0,0.0,0.0
Jose Caballero,6,1,1,0,33,0.18181818181818182,0.030303030303030304,0.030303030303030304,0.0
Jose Herrera,4,2,0,0,17,0.23529411764705882,0.11764705882352941,0.0,0.0
Jose Iglesias,5,0,0,0,33,0.15151515151515152,0.0,0.0,0.0
Jose Miranda,2,0,0,0,12,0.16666666666666666,0.0,0.0,0.0
Jose Ramirez,16,4,1,0,42,0.38095238095238093,0.09523809523809523,0.023809523809523808,0.0
Jose Siri,5,0,0,0,10,0.5,0.0,0.0,0.0
Jose Tena,7,3,0,0,26,0.2692307692307692,0.11538461538461539,0.0,0.0
Jose Trevino,10,4,1,0,31,0.3225806451612903,0.12903225806451613,0.03225806451612903,0.0
Josh Bell,12,2,0,0,39,0.3076923076923077,0.05128205128205128,0.0,0.0
Josh Lowe,0,0,0,0,3,0.0,0.0,0.0,0.0
Josh Naylor,17,5,0,0,46,0.3695652173913043,0.10869565217391304,0.0,0.0
Josh Smith,13,5,0,0,36,0.3611111111111111,0.1388888888888889,0.0,0.0
Joshua Palacios,7,0,0,0,31,0.22580645161290322,0.0,0.0,0.0
Juan Mejia,0,0,0,0,2,0.0,0.0,0.0,0.0
Juan Soto,29,6,1,0,71,0.4084507042253521,0.08450704225352113,0.014084507042253521,0.0
Julio Rodriguez,20,8,1,0,47,0.425531914893617,0.1702127659574468,0.02127659574468085,0.0
Jung Hoo Lee,41,10,0,0,99,0.41414141414141414,0.10101010101010101,0.0,0.0
Junior Caminero,17,2,0,0,41,0.4146341463414634,0.04878048780487805,0.0,0.0
Jurickson Profar,2,0,0,0,4,0.5,0.0,0.0,0.0
Justin Martinez,0,0,0,0,2,0.0,0.0,0.0,0.0
Justin Turner,4,0,0,0,25,0.16,0.0,0.0,0.0
Justyn-Henry Malloy,8,3,0,0,34,0.23529411764705882,0.08823529411764706,0.0,0.0
Kameron Misner,13,4,0,0,38,0.34210526315789475,0.10526315789473684,0.0,0.0
Ke'Bryan Hayes,9,0,0,0,43,0.20930232558139536,0.0,0.0,0.0
Keibert Ruiz,10,4,0,0,39,0.2564102564102564,0.10256410256410256,0.0,0.0
Kenley Jansen,0,0,0,0,1,0.0,0.0,0.0,0.0
Kerry Carpenter,20,6,1,0,42,0.47619047619047616,0.14285714285714285,0.023809523809523808,0.0
Ketel Marte,11,2,1,0,21,0.5238095238095238,0.09523809523809523,0.047619047619047616,0.0
Kevin Newman,3,0,0,0,15,0.2,0.0,0.0,0.0
Kevin Pillar,6,0,0,0,20,0.3,0.0,0.0,0.0
Kody Clemens,4,0,0,0,18,0.2222222222222222,0.0,0.0,0.0
Korey Lee,3,0,0,0,9,0.3333333333333333,0.0,0.0,0.0
Kris Bryant,2,0,0,0,11,0.18181818181818182,0.0,0.0,0.0
Kristian Campbell,13,3,2,1,37,0.35135135135135137,0.08108108108108109,0.05405405405405406,0.02702702702702703
Kyle Farmer,3,0,0,0,37,0.08108108108108109,0.0,0.0,0.0
Kyle Higashioka,3,0,0,0,18,0.16666666666666666,0.0,0.0,0.0
Kyle Isbel,11,0,0,0,40,0.275,0.0,0.0,0.0
Kyle Manzardo,15,1,0,0,39,0.38461538461538464,0.02564102564102564,0.0,0.0
Kyle Schwarber,25,5,0,0,43,0.5813953488372093,0.11627906976744186,0.0,0.0
Kyle Stowers,16,3,1,0,41,0.3902439024390244,0.07317073170731707,0.024390243902439025,0.0
Kyle Tucker,24,8,2,1,43,0.5581395348837209,0.18604651162790697,0.046511627906976744,0.023255813953488372
Kyren Paris,12,5,0,0,40,0.3,0.125,0.0,0.0
LaMonte Wade Jr.,11,1,0,0,39,0.28205128205128205,0.02564102564102564,0.0,0.0
Lane Thomas,1,1,0,0,13,0.07692307692307693,0.07692307692307693,0.0,0.0
Lars Nootbaar,21,5,0,0,43,0.4883720930232558,0.11627906976744186,0.0,0.0
Lawrence Butler,17,3,0,0,41,0.4146341463414634,0.07317073170731707,0.0,0.0
Lenyn Sosa,11,0,0,0,43,0.2558139534883721,0.0,0.0,0.0
Leo Rivas,11,2,0,0,24,0.4583333333333333,0.08333333333333333,0.0,0.0
Leody Taveras,9,0,0,0,38,0.23684210526315788,0.0,0.0,0.0
Liam Hicks,10,0,0,0,27,0.37037037037037035,0.0,0.0,0.0
Liover Peguero,0,0,0,0,4,0.0,0.0,0.0,0.0
Logan O'Hoppe,12,1,0,0,38,0.3157894736842105,0.02631578947368421,0.0,0.0
Lourdes Gurriel Jr.,13,2,0,0,42,0.30952380952380953,0.047619047619047616,0.0,0.0
Luis Arraez,13,5,0,0,37,0.35135135135135137,0.13513513513513514,0.0,0.0
Luis Campusano,0,0,0,0,3,0.0,0.0,0.0,0.0
Luis Garcia Jr.,15,3,1,1,41,0.36585365853658536,0.07317073170731707,0.024390243902439025,0.024390243902439025
Luis Matos,6,1,0,0,21,0.2857142857142857,0.047619047619047616,0.0,0.0
Luis Rengifo,9,2,0,0,42,0.21428571428571427,0.047619047619047616,0.0,0.0
Luis Robert Jr.,15,5,1,0,40,0.375,0.125,0.025,0.0
Luis Torrens,4,0,0,0,27,0.14814814814814814,0.0,0.0,0.0
Luis Urias,12,0,0,0,32,0.375,0.0,0.0,0.0
Luisangel Acuna,14,3,0,0,40,0.35,0.075,0.0,0.0
Luke Keaschall,3,1,0,0,7,0.42857142857142855,0.14285714285714285,0.0,0.0
Luke Maile,2,0,0,0,3,0.6666666666666666,0.0,0.0,0.0
Luke Raley,8,1,1,0,25,0.32,0.04,0.04,0.0
Luke Williams,0,0,0,0,2,0.0,0.0,0.0,0.0
Luken Baker,3,0,0,0,19,0.15789473684210525,0.0,0.0,0.0
MJ Melendez,4,0,0,0,16,0.25,0.0,0.0,0.0
Maikel Garcia,14,2,0,0,45,0.3111111111111111,0.044444444444444446,0.0,0.0
Manny Machado,22,6,2,0,43,0.5116279069767442,0.13953488372093023,0.046511627906976744,0.0
Manuel Margot,1,0,0,0,6,0.16666666666666666,0.0,0.0,0.0
