,player,1_hits_rate_over,2_hits_rate_over,3_hits_rate_over,4_hits_rate_over
0,Aaron Judge,0.7777777777777778,0.46296296296296297,0.16666666666666666,0.07407407407407407
1,Adam Frazier,0.5,0.08333333333333333,0.020833333333333332,0.0
2,Addison Barger,0.5853658536585366,0.14634146341463414,0.024390243902439025,0.0
3,Adley Rutschman,0.6,0.13333333333333333,0.022222222222222223,0.0
4,Adolis Garcia,0.5942028985507246,0.21739130434782608,0.07246376811594203,0.0
5,Alec Bohm,0.7419354838709677,0.3225806451612903,0.0,0.0
6,Alejandro Kirk,0.7446808510638298,0.3191489361702128,0.10638297872340426,0.02127659574468085
7,Alex Bregman,0.7833333333333333,0.4166666666666667,0.08333333333333333,0.016666666666666666
8,Alex Verdugo,0.7209302325581395,0.23255813953488372,0.046511627906976744,0.023255813953488372
9,Andres Gimenez,0.6666666666666666,0.3333333333333333,0.11764705882352941,0.0
10,Andy Ibanez,0.35,0.1,0.0,0.0
11,Andy Pages,0.6326530612244898,0.22448979591836735,0.02040816326530612,0.0
12,Anthony Santander,0.7735849056603774,0.2830188679245283,0.018867924528301886,0.0
13,Anthony Volpe,0.6226415094339622,0.22641509433962265,0.018867924528301886,0.0
14,Austin Wells,0.6363636363636364,0.29545454545454547,0.045454545454545456,0.0
15,Bo Naylor,0.5,0.13157894736842105,0.0,0.0
16,Brandon Lowe,0.6818181818181818,0.18181818181818182,0.045454545454545456,0.022727272727272728
17,Brandon Nimmo,0.6301369863013698,0.1643835616438356,0.0547945205479452,0.0
18,Brayan Rocchio,0.4186046511627907,0.13953488372093023,0.0,0.0
19,Brendan Rodgers,0.625,0.15625,0.03125,0.03125
20,Brent Rooker,0.7894736842105263,0.47368421052631576,0.14035087719298245,0.017543859649122806
21,Brooks Lee,0.5757575757575758,0.15151515151515152,0.0,0.0
22,Bryan Reynolds,0.7560975609756098,0.34146341463414637,0.0975609756097561,0.0
23,Byron Buxton,0.6857142857142857,0.34285714285714286,0.0,0.0
24,Cedric Mullins,0.6086956521739131,0.2391304347826087,0.043478260869565216,0.0
25,Christopher Morel,0.6363636363636364,0.20454545454545456,0.022727272727272728,0.0
26,Cody Bellinger,0.7083333333333334,0.2708333333333333,0.041666666666666664,0.0
27,Colton Cowser,0.6857142857142857,0.2571428571428571,0.02857142857142857,0.0
28,Connor Wong,0.5806451612903226,0.1935483870967742,0.06451612903225806,0.03225806451612903
29,Corbin Carroll,0.8367346938775511,0.30612244897959184,0.02040816326530612,0.0
30,Corey Seager,0.7906976744186046,0.3953488372093023,0.11627906976744186,0.046511627906976744
31,Daniel Schneemann,0.47058823529411764,0.14705882352941177,0.0,0.0
32,Dansby Swanson,0.6551724137931034,0.2413793103448276,0.034482758620689655,0.0
33,Davis Schneider,0.3870967741935484,0.12903225806451613,0.03225806451612903,0.0
34,Donovan Solano,0.4883720930232558,0.18604651162790697,0.09302325581395349,0.06976744186046512
35,Dylan Crews,0.5135135135135135,0.1891891891891892,0.05405405405405406,0.0
36,Eli White,0.42424242424242425,0.18181818181818182,0.0,0.0
37,Elly De La Cruz,0.74,0.3,0.14,0.04
38,Ernie Clement,0.6290322580645161,0.24193548387096775,0.0967741935483871,0.016129032258064516
39,Francisco Lindor,0.859375,0.359375,0.09375,0.0
40,Freddy Fermin,0.6222222222222222,0.15555555555555556,0.044444444444444446,0.022222222222222223
41,Garrett Mitchell,0.5,0.19047619047619047,0.0,0.0
42,Gavin Lux,0.625,0.3958333333333333,0.08333333333333333,0.020833333333333332
43,Geraldo Perdomo,0.673469387755102,0.30612244897959184,0.10204081632653061,0.02040816326530612
44,Gio Urshela,0.6511627906976745,0.18604651162790697,0.046511627906976744,0.0
45,Gleyber Torres,0.875,0.25,0.08333333333333333,0.0
46,Gunnar Henderson,0.6842105263157895,0.3684210526315789,0.07894736842105263,0.02631578947368421
47,Harrison Bader,0.4482758620689655,0.1724137931034483,0.017241379310344827,0.0
48,Heliot Ramos,0.6976744186046512,0.27906976744186046,0.09302325581395349,0.046511627906976744
49,J.P. Crawford,0.6097560975609756,0.2682926829268293,0.024390243902439025,0.0
50,Jackson Chourio,0.7636363636363637,0.34545454545454546,0.07272727272727272,0.03636363636363636
51,Jackson Holliday,0.575,0.15,0.05,0.025
52,Jackson Merrill,0.72,0.38,0.12,0.04
53,Jacob Wilson,0.78125,0.3125,0.125,0.03125
54,Jacob Young,0.6031746031746031,0.15873015873015872,0.031746031746031744,0.0
55,Jake Burger,0.7291666666666666,0.16666666666666666,0.041666666666666664,0.0
56,Jake Cronenworth,0.6326530612244898,0.1836734693877551,0.02040816326530612,0.0
57,Jake Fraley,0.6060606060606061,0.18181818181818182,0.06060606060606061,0.0
58,Jake Meyers,0.5094339622641509,0.18867924528301888,0.03773584905660377,0.018867924528301886
59,James Wood,0.6935483870967742,0.27419354838709675,0.0967741935483871,0.016129032258064516
60,Jared Triolo,0.4838709677419355,0.06451612903225806,0.0,0.0
61,Jarred Kelenic,0.5,0.08333333333333333,0.020833333333333332,0.0
62,Jarren Duran,0.7647058823529411,0.35294117647058826,0.09803921568627451,0.0196078431372549
63,Javier Baez,0.5428571428571428,0.2857142857142857,0.11428571428571428,0.0
64,Jazz Chisholm Jr.,0.7954545454545454,0.29545454545454547,0.06818181818181818,0.0
65,Jeremy Pena,0.7169811320754716,0.2641509433962264,0.05660377358490566,0.0
66,Jesse Winker,0.4883720930232558,0.20930232558139536,0.09302325581395349,0.0
67,Joc Pederson,0.49019607843137253,0.09803921568627451,0.0,0.0
68,Joey Bart,0.6388888888888888,0.25,0.027777777777777776,0.0
69,Joey Ortiz,0.5294117647058824,0.13725490196078433,0.0196078431372549,0.0
70,Jonah Bride,0.6486486486486487,0.24324324324324326,0.05405405405405406,0.0
71,Jonah Heim,0.5849056603773585,0.22641509433962265,0.0,0.0
72,Jorge Soler,0.6415094339622641,0.18867924528301888,0.07547169811320754,0.0
73,Jose Altuve,0.8333333333333334,0.375,0.08333333333333333,0.0
74,Jose Caballero,0.5833333333333334,0.08333333333333333,0.0,0.0
75,Jose Iglesias,0.7755102040816326,0.30612244897959184,0.02040816326530612,0.02040816326530612
76,Josh Naylor,0.723404255319149,0.3404255319148936,0.0851063829787234,0.0
77,Josh Rojas,0.4807692307692308,0.1346153846153846,0.019230769230769232,0.0
78,Josh Smith,0.603448275862069,0.20689655172413793,0.10344827586206896,0.017241379310344827
79,Juan Soto,0.6454545454545455,0.2727272727272727,0.05454545454545454,0.0
80,Julio Rodriguez,0.7659574468085106,0.3191489361702128,0.14893617021276595,0.0425531914893617
81,Jung Hoo Lee,0.6607142857142857,0.25,0.07142857142857142,0.0
82,Junior Caminero,0.7647058823529411,0.2647058823529412,0.11764705882352941,0.0
83,Justin Turner,0.6944444444444444,0.2777777777777778,0.05555555555555555,0.0
84,Ke'Bryan Hayes,0.6857142857142857,0.2857142857142857,0.02857142857142857,0.0
85,Keibert Ruiz,0.8070175438596491,0.2982456140350877,0.10526315789473684,0.0
86,Kyle Isbel,0.5,0.16666666666666666,0.07407407407407407,0.0
87,Kyle Stowers,0.5897435897435898,0.23076923076923078,0.05128205128205128,0.0
88,LaMonte Wade Jr.,0.45714285714285713,0.22857142857142856,0.02857142857142857,0.0
89,Lars Nootbaar,0.6451612903225806,0.2903225806451613,0.0,0.0
90,Lawrence Butler,0.7678571428571429,0.375,0.08928571428571429,0.017857142857142856
91,Lenyn Sosa,0.6363636363636364,0.2727272727272727,0.0,0.0
92,Leody Taveras,0.5084745762711864,0.1694915254237288,0.03389830508474576,0.0
93,Logan O'Hoppe,0.5142857142857142,0.2571428571428571,0.11428571428571428,0.02857142857142857
94,Lourdes Gurriel Jr.,0.7142857142857143,0.37142857142857144,0.05714285714285714,0.0
95,Luis Arraez,0.7719298245614035,0.43859649122807015,0.21052631578947367,0.03508771929824561
96,Luis Garcia Jr.,0.6785714285714286,0.30357142857142855,0.05357142857142857,0.017857142857142856
97,Luis Robert Jr.,0.5918367346938775,0.16326530612244897,0.061224489795918366,0.0
98,Luke Raley,0.525,0.2,0.025,0.0
99,MJ Melendez,0.5142857142857142,0.11428571428571428,0.0,0.0
100,Maikel Garcia,0.6491228070175439,0.2982456140350877,0.05263157894736842,0.0
101,Manny Machado,0.7068965517241379,0.3620689655172414,0.08620689655172414,0.034482758620689655
102,Marcell Ozuna,0.7719298245614035,0.43859649122807015,0.08771929824561403,0.0
103,Marcus Semien,0.6764705882352942,0.20588235294117646,0.04411764705882353,0.0
104,Mark Vientos,0.6833333333333333,0.23333333333333334,0.0,0.0
105,Masyn Winn,0.7096774193548387,0.3870967741935484,0.03225806451612903,0.0
106,Matt Chapman,0.5957446808510638,0.2978723404255319,0.06382978723404255,0.0
107,Max Schuemann,0.4375,0.14583333333333334,0.020833333333333332,0.0
108,Michael A. Taylor,0.35,0.05,0.05,0.0
109,Michael Busch,0.5471698113207547,0.22641509433962265,0.11320754716981132,0.0
110,Michael Harris II,0.6428571428571429,0.2857142857142857,0.11904761904761904,0.0
111,Michael Massey,0.5882352941176471,0.21568627450980393,0.0392156862745098,0.0
112,Michael Toglia,0.6470588235294118,0.23529411764705882,0.08823529411764706,0.0
113,Miguel Amaya,0.6341463414634146,0.2682926829268293,0.07317073170731707,0.024390243902439025
114,Mike Yastrzemski,0.7111111111111111,0.28888888888888886,0.044444444444444446,0.0
115,Mitch Garver,0.40625,0.1875,0.0625,0.0
116,Nick Castellanos,0.6842105263157895,0.3157894736842105,0.05263157894736842,0.0
117,Nico Hoerner,0.75,0.2833333333333333,0.06666666666666667,0.0
118,Noelvi Marte,0.5555555555555556,0.2777777777777778,0.1111111111111111,0.027777777777777776
119,Nolan Schanuel,0.6923076923076923,0.23076923076923078,0.02564102564102564,0.0
120,Oswaldo Cabrera,0.5555555555555556,0.19444444444444445,0.0,0.0
121,Otto Lopez,0.7631578947368421,0.2631578947368421,0.07894736842105263,0.0
122,Ozzie Albies,0.6470588235294118,0.20588235294117646,0.029411764705882353,0.0
123,Patrick Bailey,0.5277777777777778,0.2777777777777778,0.027777777777777776,0.0
124,Pete Alonso,0.6338028169014085,0.28169014084507044,0.04225352112676056,0.0
125,Rafael Devers,0.6818181818181818,0.3181818181818182,0.06818181818181818,0.022727272727272728
126,Ramon Urias,0.5806451612903226,0.25806451612903225,0.12903225806451613,0.0
127,Randy Arozarena,0.6595744680851063,0.19148936170212766,0.0,0.0
128,Riley Greene,0.6904761904761905,0.2857142857142857,0.07142857142857142,0.0
129,Romy Gonzalez,0.6060606060606061,0.21212121212121213,0.030303030303030304,0.0
130,Ryan Jeffers,0.6216216216216216,0.2972972972972973,0.02702702702702703,0.0
131,Ryan Mountcastle,0.6666666666666666,0.2222222222222222,0.05555555555555555,0.0
132,Ryan O'Hearn,0.5742574257425742,0.19801980198019803,0.039603960396039604,0.0
133,Sal Frelick,0.6071428571428571,0.10714285714285714,0.03571428571428571,0.0
134,Salvador Perez,0.6949152542372882,0.288135593220339,0.03389830508474576,0.0
135,Santiago Espinal,0.6388888888888888,0.2777777777777778,0.08333333333333333,0.0
136,Seiya Suzuki,0.6666666666666666,0.35294117647058826,0.058823529411764705,0.0196078431372549
137,Shohei Ohtani,0.7454545454545455,0.2727272727272727,0.12727272727272726,0.05454545454545454
138,Spencer Steer,0.7441860465116279,0.23255813953488372,0.023255813953488372,0.0
139,Spencer Torkelson,0.6486486486486487,0.21621621621621623,0.05405405405405406,0.0
140,Steven Kwan,0.6923076923076923,0.3333333333333333,0.05128205128205128,0.02564102564102564
141,TJ Friedl,0.6341463414634146,0.2682926829268293,0.12195121951219512,0.04878048780487805
142,Taylor Walls,0.4634146341463415,0.07317073170731707,0.024390243902439025,0.0
143,Taylor Ward,0.594059405940594,0.15841584158415842,0.0297029702970297,0.0
144,Teoscar Hernandez,0.75,0.4090909090909091,0.1590909090909091,0.022727272727272728
145,Tommy Pham,0.5789473684210527,0.15789473684210525,0.05263157894736842,0.0
146,Trea Turner,0.7058823529411765,0.2647058823529412,0.11764705882352941,0.0
147,Trent Grisham,0.59375,0.21875,0.09375,0.0
148,Trevor Larnach,0.6458333333333334,0.25,0.020833333333333332,0.0
149,Trey Sweeney,0.6666666666666666,0.21212121212121213,0.12121212121212122,0.030303030303030304
150,Ty France,0.5961538461538461,0.21153846153846154,0.07692307692307693,0.0
