,player,1_hits_rate_under,2_hits_rate_under,3_hits_rate_under,4_hits_rate_under
0,Aaron Judge,0.6774193548387096,0.3064516129032258,0.04838709677419355,0.0
1,Adam Frazier,0.37142857142857144,0.08571428571428572,0.0,0.0
2,Addison Barger,0.3055555555555556,0.1111111111111111,0.0,0.0
3,Adley Rutschman,0.46296296296296297,0.14814814814814814,0.018518518518518517,0.0
4,Adolis Garcia,0.4666666666666667,0.1111111111111111,0.044444444444444446,0.0
5,Alec Bohm,0.6666666666666666,0.18518518518518517,0.07407407407407407,0.018518518518518517
6,Alejandro Kirk,0.6052631578947368,0.21052631578947367,0.05263157894736842,0.0
7,Alex Bregman,0.5581395348837209,0.2558139534883721,0.09302325581395349,0.023255813953488372
8,Alex Verdugo,0.48717948717948717,0.10256410256410256,0.05128205128205128,0.02564102564102564
9,Andres Gimenez,0.5344827586206896,0.06896551724137931,0.034482758620689655,0.0
10,Andy Ibanez,0.29545454545454547,0.045454545454545456,0.0,0.0
11,Andy Pages,0.5714285714285714,0.17142857142857143,0.08571428571428572,0.02857142857142857
12,Anthony Santander,0.5471698113207547,0.1320754716981132,0.0,0.0
13,Anthony Volpe,0.5806451612903226,0.12903225806451613,0.016129032258064516,0.0
14,Austin Wells,0.5094339622641509,0.07547169811320754,0.018867924528301886,0.0
15,Bo Naylor,0.39285714285714285,0.03571428571428571,0.017857142857142856,0.0
16,Brandon Lowe,0.6271186440677966,0.22033898305084745,0.0847457627118644,0.0
17,Brandon Nimmo,0.4857142857142857,0.0,0.0,0.0
18,Brayan Rocchio,0.3442622950819672,0.06557377049180328,0.01639344262295082,0.0
19,Brendan Rodgers,0.546875,0.25,0.0625,0.0
20,Brent Rooker,0.6440677966101694,0.2542372881355932,0.03389830508474576,0.0
21,Brooks Lee,0.5581395348837209,0.20930232558139536,0.06976744186046512,0.0
22,Bryan Reynolds,0.582089552238806,0.23880597014925373,0.05970149253731343,0.029850746268656716
23,Byron Buxton,0.6666666666666666,0.38095238095238093,0.047619047619047616,0.0
24,Cedric Mullins,0.48148148148148145,0.14814814814814814,0.018518518518518517,0.0
25,Christopher Morel,0.42857142857142855,0.07142857142857142,0.017857142857142856,0.0
26,Cody Bellinger,0.6888888888888889,0.2,0.044444444444444446,0.0
27,Colton Cowser,0.6578947368421053,0.2631578947368421,0.02631578947368421,0.0
28,Connor Wong,0.5106382978723404,0.14893617021276595,0.02127659574468085,0.0
29,Corbin Carroll,0.65625,0.234375,0.0,0.0
30,Corey Seager,0.6176470588235294,0.3235294117647059,0.029411764705882353,0.0
31,Daniel Schneemann,0.44680851063829785,0.0851063829787234,0.0,0.0
32,Dansby Swanson,0.6037735849056604,0.22641509433962265,0.03773584905660377,0.0
33,Davis Schneider,0.24242424242424243,0.06060606060606061,0.0,0.0
34,Donovan Solano,0.37142857142857144,0.08571428571428572,0.0,0.0
35,Dylan Crews,0.47058823529411764,0.17647058823529413,0.058823529411764705,0.0
36,Eli White,0.375,0.03125,0.0,0.0
37,Elly De La Cruz,0.625,0.203125,0.078125,0.015625
38,Ernie Clement,0.4807692307692308,0.23076923076923078,0.057692307692307696,0.0
39,Francisco Lindor,0.6153846153846154,0.28205128205128205,0.05128205128205128,0.0
40,Freddy Fermin,0.6,0.15,0.025,0.0
41,Garrett Mitchell,0.4782608695652174,0.13043478260869565,0.0,0.0
42,Gavin Lux,0.5084745762711864,0.13559322033898305,0.01694915254237288,0.0
43,Geraldo Perdomo,0.6349206349206349,0.19047619047619047,0.015873015873015872,0.0
44,Gio Urshela,0.49019607843137253,0.19607843137254902,0.0784313725490196,0.0196078431372549
45,Gleyber Torres,0.6862745098039216,0.2549019607843137,0.11764705882352941,0.0
46,Gunnar Henderson,0.6825396825396826,0.23809523809523808,0.12698412698412698,0.0
47,Harrison Bader,0.38461538461538464,0.1794871794871795,0.02564102564102564,0.0
48,Heliot Ramos,0.6818181818181818,0.22727272727272727,0.045454545454545456,0.0
49,J.P. Crawford,0.5833333333333334,0.1111111111111111,0.0,0.0
50,Jackson Chourio,0.7115384615384616,0.34615384615384615,0.09615384615384616,0.0
51,Jackson Holliday,0.5128205128205128,0.1282051282051282,0.05128205128205128,0.0
52,Jackson Merrill,0.6666666666666666,0.2777777777777778,0.08333333333333333,0.0
53,Jacob Wilson,0.7297297297297297,0.2972972972972973,0.05405405405405406,0.02702702702702703
54,Jacob Young,0.4716981132075472,0.1509433962264151,0.0,0.0
55,Jake Burger,0.660377358490566,0.24528301886792453,0.03773584905660377,0.018867924528301886
56,Jake Cronenworth,0.5405405405405406,0.16216216216216217,0.02702702702702703,0.0
57,Jake Fraley,0.4888888888888889,0.13333333333333333,0.044444444444444446,0.0
58,Jake Meyers,0.4909090909090909,0.14545454545454545,0.03636363636363636,0.0
59,James Wood,0.6666666666666666,0.16666666666666666,0.05,0.03333333333333333
60,Jared Triolo,0.46153846153846156,0.09615384615384616,0.019230769230769232,0.0
61,Jarred Kelenic,0.36363636363636365,0.030303030303030304,0.0,0.0
62,Jarren Duran,0.7246376811594203,0.2608695652173913,0.057971014492753624,0.028985507246376812
63,Javier Baez,0.47368421052631576,0.05263157894736842,0.0,0.0
64,Jazz Chisholm Jr.,0.44680851063829785,0.1276595744680851,0.0,0.0
65,Jeremy Pena,0.6724137931034483,0.27586206896551724,0.05172413793103448,0.0
66,Jesse Winker,0.358974358974359,0.1282051282051282,0.0,0.0
67,Joc Pederson,0.48936170212765956,0.0851063829787234,0.0,0.0
68,Joey Bart,0.5686274509803921,0.2549019607843137,0.058823529411764705,0.0196078431372549
69,Joey Ortiz,0.49019607843137253,0.11764705882352941,0.0196078431372549,0.0
70,Jonah Bride,0.6046511627906976,0.13953488372093023,0.0,0.0
71,Jonah Heim,0.46153846153846156,0.15384615384615385,0.02564102564102564,0.02564102564102564
72,Jorge Soler,0.6326530612244898,0.14285714285714285,0.0,0.0
73,Jose Altuve,0.6491228070175439,0.2631578947368421,0.017543859649122806,0.0
74,Jose Caballero,0.4098360655737705,0.16393442622950818,0.01639344262295082,0.0
75,Jose Iglesias,0.4864864864864865,0.16216216216216217,0.0,0.0
76,Josh Naylor,0.5942028985507246,0.2318840579710145,0.043478260869565216,0.0
77,Josh Rojas,0.4,0.1076923076923077,0.0,0.0
78,Josh Smith,0.5813953488372093,0.2558139534883721,0.046511627906976744,0.0
79,Juan Soto,0.6421052631578947,0.22105263157894736,0.06315789473684211,0.021052631578947368
80,Julio Rodriguez,0.4791666666666667,0.22916666666666666,0.08333333333333333,0.041666666666666664
81,Jung Hoo Lee,0.6153846153846154,0.15384615384615385,0.05128205128205128,0.0
82,Junior Caminero,0.6136363636363636,0.18181818181818182,0.06818181818181818,0.0
83,Justin Turner,0.46808510638297873,0.0851063829787234,0.0425531914893617,0.0
84,Ke'Bryan Hayes,0.675,0.25,0.0,0.0
85,Keibert Ruiz,0.5416666666666666,0.14583333333333334,0.020833333333333332,0.0
86,Kyle Isbel,0.4375,0.10416666666666667,0.020833333333333332,0.0
87,Kyle Stowers,0.46511627906976744,0.09302325581395349,0.046511627906976744,0.023255813953488372
88,LaMonte Wade Jr.,0.40350877192982454,0.12280701754385964,0.017543859649122806,0.0
89,Lars Nootbaar,0.5694444444444444,0.20833333333333334,0.027777777777777776,0.0
90,Lawrence Butler,0.6785714285714286,0.17857142857142858,0.07142857142857142,0.0
91,Lenyn Sosa,0.5909090909090909,0.22727272727272727,0.06818181818181818,0.0
92,Leody Taveras,0.4318181818181818,0.18181818181818182,0.045454545454545456,0.0
93,Logan O'Hoppe,0.48214285714285715,0.14285714285714285,0.03571428571428571,0.017857142857142856
94,Lourdes Gurriel Jr.,0.6666666666666666,0.2222222222222222,0.037037037037037035,0.0
95,Luis Arraez,0.5813953488372093,0.32558139534883723,0.11627906976744186,0.0
96,Luis Garcia Jr.,0.5686274509803921,0.2549019607843137,0.0392156862745098,0.0
97,Luis Robert Jr.,0.5087719298245614,0.19298245614035087,0.03508771929824561,0.017543859649122806
98,Luke Raley,0.4090909090909091,0.09090909090909091,0.0,0.0
99,MJ Melendez,0.4473684210526316,0.13157894736842105,0.07894736842105263,0.0
100,Maikel Garcia,0.5535714285714286,0.14285714285714285,0.03571428571428571,0.0
101,Manny Machado,0.6730769230769231,0.3269230769230769,0.11538461538461539,0.0
102,Marcell Ozuna,0.5925925925925926,0.24074074074074073,0.037037037037037035,0.0
103,Marcus Semien,0.6304347826086957,0.13043478260869565,0.021739130434782608,0.0
104,Mark Vientos,0.575,0.225,0.025,0.0
105,Masyn Winn,0.609375,0.34375,0.046875,0.0
106,Matt Chapman,0.5409836065573771,0.18032786885245902,0.03278688524590164,0.0
107,Max Schuemann,0.3877551020408163,0.12244897959183673,0.02040816326530612,0.0
108,Michael A. Taylor,0.32608695652173914,0.10869565217391304,0.021739130434782608,0.021739130434782608
109,Michael Busch,0.4716981132075472,0.22641509433962265,0.05660377358490566,0.05660377358490566
110,Michael Harris II,0.6285714285714286,0.22857142857142856,0.11428571428571428,0.0
111,Michael Massey,0.5098039215686274,0.13725490196078433,0.0392156862745098,0.0
112,Michael Toglia,0.5555555555555556,0.12345679012345678,0.037037037037037035,0.0
113,Miguel Amaya,0.46875,0.15625,0.0625,0.0
114,Mike Yastrzemski,0.4745762711864407,0.2033898305084746,0.03389830508474576,0.0
115,Mitch Garver,0.3548387096774194,0.03225806451612903,0.0,0.0
116,Nick Castellanos,0.6818181818181818,0.2878787878787879,0.06060606060606061,0.0
117,Nico Hoerner,0.68,0.32,0.06,0.0
118,Noelvi Marte,0.5405405405405406,0.13513513513513514,0.0,0.0
119,Nolan Schanuel,0.6333333333333333,0.18333333333333332,0.06666666666666667,0.0
120,Oswaldo Cabrera,0.46153846153846156,0.20512820512820512,0.02564102564102564,0.0
121,Otto Lopez,0.6304347826086957,0.2608695652173913,0.043478260869565216,0.0
122,Ozzie Albies,0.5806451612903226,0.1935483870967742,0.03225806451612903,0.0
123,Patrick Bailey,0.375,0.07142857142857142,0.017857142857142856,0.0
124,Pete Alonso,0.6136363636363636,0.18181818181818182,0.022727272727272728,0.0
125,Rafael Devers,0.578125,0.28125,0.09375,0.015625
126,Ramon Urias,0.5405405405405406,0.16216216216216217,0.02702702702702703,0.0
127,Randy Arozarena,0.6271186440677966,0.22033898305084745,0.03389830508474576,0.01694915254237288
128,Riley Greene,0.5357142857142857,0.25,0.10714285714285714,0.017857142857142856
129,Romy Gonzalez,0.4883720930232558,0.09302325581395349,0.023255813953488372,0.0
130,Ryan Jeffers,0.4489795918367347,0.14285714285714285,0.04081632653061224,0.0
131,Ryan Mountcastle,0.625,0.2,0.075,0.0
132,Ryan O'Hearn,0.45454545454545453,0.13636363636363635,0.011363636363636364,0.0
133,Sal Frelick,0.5555555555555556,0.2,0.06666666666666667,0.044444444444444446
134,Salvador Perez,0.5818181818181818,0.2,0.05454545454545454,0.0
135,Santiago Espinal,0.5306122448979592,0.22448979591836735,0.04081632653061224,0.02040816326530612
136,Seiya Suzuki,0.6111111111111112,0.37037037037037035,0.07407407407407407,0.0
137,Shohei Ohtani,0.6545454545454545,0.43636363636363634,0.07272727272727272,0.0
138,Spencer Steer,0.45,0.06666666666666667,0.016666666666666666,0.0
139,Spencer Torkelson,0.5333333333333333,0.2,0.022222222222222223,0.022222222222222223
140,Steven Kwan,0.6567164179104478,0.2537313432835821,0.04477611940298507,0.0
141,TJ Friedl,0.5660377358490566,0.1509433962264151,0.03773584905660377,0.018867924528301886
142,Taylor Walls,0.3559322033898305,0.1016949152542373,0.01694915254237288,0.01694915254237288
143,Taylor Ward,0.574468085106383,0.13829787234042554,0.031914893617021274,0.0
144,Teoscar Hernandez,0.7169811320754716,0.20754716981132076,0.018867924528301886,0.018867924528301886
145,Tommy Pham,0.5,0.2413793103448276,0.034482758620689655,0.0
146,Trea Turner,0.6764705882352942,0.3235294117647059,0.08823529411764706,0.014705882352941176
147,Trent Grisham,0.4878048780487805,0.0975609756097561,0.0,0.0
148,Trevor Larnach,0.5370370370370371,0.14814814814814814,0.037037037037037035,0.018518518518518517
149,Trey Sweeney,0.4634146341463415,0.07317073170731707,0.0,0.0
150,Ty France,0.49056603773584906,0.22641509433962265,0.07547169811320754,0.018867924528301886
151,Tyler Fitzgerald,0.62,0.26,0.08,0.0
152,Vinnie Pasquantino,0.5581395348837209,0.2558139534883721,0.046511627906976744,0.023255813953488372
153,Vladimir Guerrero Jr.,0.7037037037037037,0.2777777777777778,0.12962962962962962,0.018518518518518517
154,Will Smith,0.574468085106383,0.23404255319148937,0.06382978723404255,0.0
155,Willi Castro,0.5573770491803278,0.13114754098360656,0.04918032786885246,0.0
156,Wilyer Abreu,0.5,0.15517241379310345,0.06896551724137931,0.0
157,Wyatt Langford,0.5652173913043478,0.17391304347826086,0.08695652173913043,0.021739130434782608
158,Xavier Edwards,0.7457627118644068,0.3220338983050847,0.03389830508474576,0.03389830508474576
159,Yandy Diaz,0.6486486486486487,0.22522522522522523,0.036036036036036036,0.0
160,Yordan Alvarez,0.5714285714285714,0.21428571428571427,0.023809523809523808,0.023809523809523808
161,Zach McKinstry,0.49206349206349204,0.19047619047619047,0.031746031746031744,0.0
