away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
J. Iglesias2B-3B,5,1,1,2,1,0,0,.378,.417,.533,D. MillasPR,0,0,0,0,0,0,0,.167,.219,.300
J. McNeilLF-2B,5,0,1,0,0,0,2,.217,.276,.304,N. Senzel3B,2,0,0,0,0,0,0,.209,.308,.367
team,42,9,12,9,2,2,13,,,,aL. Garcia Jr.PH-2B,3,0,0,0,0,0,1,.257,.289,.388
,,,,,,,,,,,J. YoungCF,4,1,0,0,0,0,1,.268,.323,.333
,,,,,,,,,,,team,40,7,11,6,0,4,6,,,
J. Ortiz3B,5,0,0,0,0,0,2,.269,.373,.444,C. BlackmonDH,5,1,2,1,1,0,0,.260,.328,.409
W. ContrerasDH,5,2,3,1,1,0,1,.296,.355,.451,E. TovarSS,5,0,0,0,0,0,2,.280,.309,.465
C. YelichLF,5,2,2,0,0,0,0,.323,.399,.493,R. McMahon3B,5,1,1,1,0,0,1,.269,.347,.458
W. AdamesSS,5,1,3,1,0,0,0,.235,.324,.410,E. DiazC,5,0,1,0,0,0,1,.304,.351,.440
J. ChourioRF,3,1,1,2,0,0,0,.244,.289,.391,B. Rodgers2B,3,1,2,1,0,2,0,.284,.327,.412
bS. FrelickPH-RF,1,1,1,0,0,1,0,.271,.345,.341,A. SchunkPR,0,1,0,0,0,0,0,.000,.000,.000
R. Hoskins1B,4,0,0,1,0,0,0,.225,.316,.405,M. Toglia1B,4,0,0,0,0,1,0,.183,.238,.427
J. BauersPR-1B,0,0,0,0,0,0,0,.221,.320,.407,B. DoyleCF,4,3,3,3,2,1,0,.260,.323,.408
B. PerkinsCF,2,0,1,1,0,0,1,.246,.320,.358,N. JonesLF,4,0,2,1,0,1,0,.193,.296,.321
aG. MitchellPH-CF,2,0,1,0,0,1,1,.500,.667,.500,J. CaveRF,5,1,2,1,0,0,0,.247,.300,.322
E. HaaseC,4,0,2,1,0,0,1,.500,.500,.500,team,40,8,13,8,3,5,4,,,
B. Turang2B,4,0,0,0,0,0,1,.288,.350,.411,,,,,,,,,,,
team,40,7,14,7,1,2,7,,,,,,,,,,,,,,
J. DuranCF,4,1,1,1,1,1,0,.287,.350,.503,J. Chisholm Jr.CF,4,0,0,0,0,0,1,.259,.324,.421
T. O'NeillLF,4,2,2,0,0,1,1,.256,.353,.526,B. De La CruzLF,4,0,0,0,0,0,2,.239,.286,.421
W. AbreuRF,5,1,1,0,0,0,3,.269,.338,.467,J. BellDH,4,0,0,0,0,0,2,.239,.300,.368
R. Devers3B,5,1,2,2,0,0,1,.284,.364,.560,J. SánchezRF,4,1,1,1,1,0,0,.231,.284,.374
C. WongC,5,0,1,1,0,0,2,.324,.381,.465,J. Burger1B,4,1,2,1,1,0,0,.221,.259,.361
M. YoshidaDH,5,1,3,1,0,0,1,.259,.327,.353,X. EdwardsSS,4,1,1,0,0,0,1,.231,.333,.308
E. Valdez2B,4,1,1,0,0,0,1,.210,.266,.395,V. Brujan2B,4,0,0,0,0,0,2,.231,.298,.333
D. Smith1B,4,0,1,0,0,0,2,.213,.306,.327,E. Rivera3B,3,0,2,1,0,0,1,.215,.304,.262
C. RafaelaSS,4,1,1,3,1,0,0,.241,.269,.393,N. FortesC,3,0,1,0,0,0,0,.167,.198,.237
team,40,8,13,8,2,2,11,,,,team,34,3,7,3,2,0,9,,,
L. Robert Jr.CF,4,1,2,4,1,0,1,.215,.286,.512,S. KwanLF,4,0,0,0,0,0,0,.362,.420,.526
A. BenintendiLF,4,0,0,0,0,0,0,.192,.242,.295,D. SchneemannRF,4,1,1,2,1,0,2,.262,.356,.508
A. Vaughn1B,4,1,1,1,1,0,3,.244,.298,.403,J. Ramirez3B,4,0,0,0,0,0,1,.276,.329,.550
G. SheetsRF,4,0,0,0,0,0,2,.235,.330,.397,J. Naylor1B,4,1,1,0,0,0,0,.242,.320,.498
E. JimenezDH,4,0,1,0,0,0,1,.239,.294,.374,D. FryDH,4,1,0,0,0,0,1,.303,.414,.511
C. JulksPR-DH,0,0,0,0,0,0,0,.240,.315,.390,A. Gimenez2B,4,1,2,0,0,0,0,.249,.307,.344
P. DeJongSS,3,1,1,0,0,1,1,.237,.283,.448,T. FreemanCF,4,2,2,2,1,0,0,.211,.306,.343
N. Lopez2B,4,1,1,0,0,0,2,.246,.297,.280,A. HedgesC,2,1,0,0,0,1,2,.149,.194,.239
L. Sosa3B,4,1,2,1,0,0,0,.231,.270,.351,aB. NaylorPH,0,0,0,1,0,0,0,.207,.273,.335
K. LeeC,2,1,1,0,0,0,0,.233,.272,.383,B. RocchioSS,3,0,1,1,0,0,0,.211,.309,.296
aT. PhamPH,1,0,0,0,0,0,1,.263,.343,.374,team,33,7,7,6,2,1,6,,,
M. MaldonadoC,1,0,0,0,0,0,0,.083,.134,.125,,,,,,,,,,,
team,35,6,9,6,2,1,11,,,,,,,,,,,,,,
M. WinnSS,5,1,2,0,0,0,1,.288,.332,.417,A. McCutchenDH,4,1,1,1,1,0,1,.232,.330,.401
A. BurlesonRF,5,1,2,2,1,0,2,.280,.313,.466,B. ReynoldsLF,4,0,0,0,0,0,1,.271,.338,.460
D. CarlsonRF,0,0,0,0,0,0,0,.198,.275,.240,O. CruzSS,3,0,0,0,0,1,1,.237,.293,.424
W. ContrerasC,4,0,1,0,0,0,2,.261,.389,.485,C. JoeRF-1B,4,0,1,0,0,0,3,.248,.327,.404
