,book,sport,player,game,bet,odds,edge,decimal_odds,profit
0,draftkings,MLB,Andrew McCutchen,PIT vs CIN,under 0.5 runs,-195,10.5,1.513,51.29999999999998
1,fliff,MLB,Christopher Morel,TBR vs HOU,under 0.5 runs,-120,26.4,1.833,83.29999999999998
2,draftkings,MLB,Danny Jansen,TBR vs HOU,under 0.5 runs,-160,16.7,1.625,62.5
3,draftkings,MLB,Dansby Swanson,CHC vs MIA,over 0.5 runs,125,10.4,2.25,125.0
4,fliff,MLB,Spencer Steer,CIN vs PIT,over 0.5 runs,160,23.9,2.6,160.0
5,draftkings,MLB,Yandy Diaz,TBR vs HOU,under 0.5 runs,-105,19.0,1.952,95.19999999999999
