gameId,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
401695612,G. HendersonSS,3,0,0,0,0,1,1,.253,.302,.462,J. ChourioCF,5,0,0,0,0,0,1,.236,.254,.419
401695612,R. LaureanoRF,4,1,3,1,1,0,0,.272,.327,.543,C. YelichDH,4,0,0,0,0,0,1,.194,.289,.341
401695612,R. O'HearnDH,3,1,0,0,0,1,2,.294,.386,.500,R. Hoskins1B,2,1,1,0,0,2,0,.291,.400,.454
401695612,R. Urias3B,4,1,1,0,0,0,1,.267,.333,.372,J. OrtizPR-SS,0,0,0,0,0,0,0,.170,.223,.218
401695612,C. MullinsCF,3,1,1,3,1,1,0,.229,.331,.471,I. CollinsLF,4,1,1,0,0,0,1,.236,.321,.333
401695612,D. CarlsonLF,3,0,0,0,0,1,0,.000,.095,.000,S. FrelickRF,4,0,2,0,0,0,0,.279,.351,.390
401695612,M. HandleyC,3,0,0,0,0,0,1,.059,.105,.059,A. MonasterioSS-1B,3,0,0,0,0,0,2,.000,.250,.000
401695612,aA. RutschmanPH,1,0,0,0,0,0,0,.208,.299,.338,aJ. BauersPH-1B,1,0,0,0,0,0,0,.273,.360,.470
401695612,team,33,4,6,4,2,4,9,,,,C. Durbin3B,3,1,1,1,0,1,0,.174,.273,.244
401695612,,,,,,,,,,,,team,34,5,11,5,0,5,7,,,
401695613,S. KwanLF,2,0,1,0,0,0,0,.313,.375,.429,R. JeffersC,2,1,1,0,0,0,1,.271,.347,.411
401695613,A. Martinez2B,2,1,1,0,0,0,1,.298,.327,.394,B. LeeSS,2,0,0,0,0,0,1,.246,.287,.386
401695613,J. Ramirez3B,2,0,0,0,0,0,0,.293,.355,.512,R. LewisDH,1,0,0,0,0,1,0,.200,.273,.300
401695613,K. ManzardoDH,1,0,1,1,0,0,0,.227,.313,.504,T. France1B,2,0,1,1,0,0,0,.256,.319,.357
401695613,C. Santana1B,1,0,0,0,0,0,1,.221,.328,.318,T. LarnachLF,1,0,0,0,0,0,0,.243,.323,.410
401695613,N. JonesCF,1,0,0,0,0,0,0,.179,.281,.292,J. Bride3B,1,0,1,0,0,0,0,.314,.359,.371
401695613,G. AriasSS,1,0,0,0,0,0,0,.253,.311,.390,C. McCuskerRF,1,0,0,0,0,0,1,.000,.000,.000
401695613,B. NaylorC,1,0,0,0,0,0,1,.189,.293,.396,H. BaderCF,1,1,0,0,0,0,0,.277,.363,.429
401695613,W. BrennanRF,1,0,0,0,0,0,0,.000,.091,.000,W. Castro2B,1,0,1,1,0,0,0,.242,.312,.384
401695613,team,12,1,3,1,0,0,3,,,,team,12,2,4,2,0,1,3,,,
401695615,J.P. CrawfordSS,3,1,1,0,0,2,1,.271,.383,.381,C. MeidrothSS,3,1,1,0,0,1,1,.286,.375,.357
401695615,J. PolancoDH,3,0,1,1,0,0,0,.314,.359,.619,M. ThaissC,3,0,1,0,0,1,1,.215,.376,.304
401695615,aM. GarverPH-DH,2,1,1,0,0,0,0,.222,.356,.278,M. Vargas3B,4,0,0,0,0,0,0,.239,.321,.411
