away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
J. HollidaySS-2B,5.0,1.0,1.0,0.0,0.0,0.0,2.0,0.2,0.2,0.2,,,,,,,,,,,
team,39.0,12.0,14.0,12.0,6.0,5.0,8.0,,,,,,,,,,,,,,
T. TurnerSS,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0,C. AbramsSS,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
B. Harper1B,4.0,2.0,1.0,1.0,1.0,1.0,2.0,0.25,0.4,1.0,J. WoodLF,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.0
A. Bohm3B,5.0,1.0,2.0,2.0,0.0,0.0,2.0,0.4,0.4,0.6,L. Garcia Jr.2B,4.0,0.0,2.0,1.0,0.0,0.0,1.0,0.5,0.5,0.75
K. SchwarberDH,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.6,1.25,J. BellDH,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J.T. RealmutoC,5.0,0.0,1.0,2.0,0.0,0.0,4.0,0.2,0.2,0.6,N. Lowe1B,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.25,0.25,0.25
M. KeplerLF,3.0,1.0,1.0,0.0,0.0,2.0,2.0,0.333,0.6,0.667,P. DeJong3B,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
N. CastellanosRF,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.25,0.4,0.25,K. RuizC,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.5,0.5,1.25
B. Stott2B,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,D. CrewsRF,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0
B. MarshCF,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,J. YoungCF,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0
team,37.0,7.0,8.0,6.0,2.0,6.0,19.0,,,,team,33.0,3.0,5.0,3.0,1.0,3.0,13.0,,,
J. DuranLF,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,M. Semien2B,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.25,0.25,0.25
R. DeversDH,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,C. SeagerDH,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
A. Bregman3B,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,W. LangfordLF,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.333,0.5,0.333
T. Casas1B,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,A. GarcíaRF,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T. StorySS,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.25,0.0,J. Burger1B,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0
