away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
G. LuxDH,5,0,2,1,0,0,3,.294,.379,.412,A. CanarioCF,4,0,1,0,0,0,1,.230,.296,.392
S. Steer1B,4,0,1,0,0,0,0,.209,.273,.335,N. Solak1B-2B,4,0,0,0,0,0,0,.100,.100,.100
W. BensonRF,4,1,1,0,0,0,1,.353,.405,.882,T. PhamLF,3,0,1,0,0,0,1,.183,.264,.217
T. StephensonC,3,1,0,0,0,1,1,.184,.286,.306,I. Kiner-FalefaSS,2,0,1,0,0,0,0,.282,.336,.347
M. McLain2B,3,0,0,1,0,0,2,.179,.294,.324,J. Triolo2B,2,0,0,0,0,0,2,.145,.217,.265
team,37,7,12,7,0,3,10,,,,aS. HorwitzPH-1B,1,0,0,0,0,0,0,.143,.143,.143
,,,,,,,,,,,team,31,1,5,1,0,1,8,,,
K. Marte2B,5,1,1,0,0,0,1,.268,.381,.537,S. OhtaniDH,4,1,1,1,1,0,0,.312,.406,.672
C. CarrollRF,4,1,1,0,0,1,2,.279,.353,.592,M. BettsSS,4,2,2,2,2,0,0,.263,.350,.444
L. Gurriel Jr.LF,4,2,1,2,1,1,0,.227,.271,.442,F. Freeman1B,4,1,1,0,0,0,0,.368,.426,.662
E. Suarez3B,5,0,1,1,0,0,2,.215,.307,.512,W. SmithC,3,0,1,0,0,1,0,.339,.450,.504
J. Naylor1B,5,1,1,1,0,0,0,.299,.367,.452,T. HernándezRF,4,1,0,1,0,0,1,.306,.324,.582
G. MorenoC,4,1,1,2,1,0,0,.264,.331,.364,M. Muncy3B,3,0,0,0,0,0,0,.205,.326,.336
T. TawaCF,4,1,2,0,0,0,0,.241,.323,.458,M. ConfortoLF,3,0,0,0,0,1,0,.168,.304,.273
A. ThomasCF,0,0,0,0,0,0,0,.276,.323,.390,T. Edman2B,4,0,1,1,0,0,0,.244,.285,.496
P. SmithDH,4,1,2,0,0,0,0,.306,.425,.504,H. KimCF,4,0,0,0,0,0,1,.400,.432,.514
G. PerdomoSS,2,1,1,3,1,1,0,.302,.403,.488,team,33,5,6,5,3,2,2,,,
team,37,9,11,9,3,3,5,,,,,,,,,,,,,,
K. CarpenterRF,4,0,0,0,0,0,2,.284,.312,.500,L. NootbaarLF,4,2,2,1,0,0,1,.258,.364,.425
G. Torres2B,3,0,0,0,0,1,1,.284,.368,.440,M. WinnSS,4,1,2,0,0,0,0,.267,.358,.427
C. Keith1B,4,0,0,0,0,0,1,.222,.341,.359,B. Donovan2B,5,2,3,1,0,0,0,.337,.392,.475
R. GreeneCF,3,0,1,0,0,0,2,.276,.328,.508,Y. Pozo1B,0,0,0,0,0,0,0,.348,.362,.478
J. MalloyLF,1,1,0,0,0,0,0,.203,.350,.291,W. Contreras1B,4,1,1,1,0,0,1,.249,.330,.401
S. TorkelsonDH,3,1,1,0,0,1,1,.246,.352,.533,N. Gorman1B-2B,1,0,0,0,0,0,0,.171,.283,.276
Z. McKinstry3B,2,0,1,0,0,0,1,.284,.368,.419,I. HerreraDH,5,2,2,2,0,0,0,.426,.484,.815
aA. IbanezPH-3B,2,1,1,1,0,0,0,.254,.329,.388,N. Arenado3B,4,0,0,1,0,0,0,.241,.316,.371
T. SweeneySS,3,1,1,1,0,0,1,.252,.311,.364,J. Barrero3B,1,0,0,0,0,0,0,.176,.222,.412
D. DinglerC,4,0,2,1,0,0,1,.292,.319,.462,A. BurlesonRF,2,0,2,0,0,1,0,.285,.333,.423
A. BaddooLF-CF,4,0,1,1,0,0,2,.200,.273,.300,J. WalkerRF,1,1,1,2,0,0,0,.195,.260,.286
team,33,4,8,4,0,2,12,,,,P. PagesC,4,1,1,2,1,0,1,.233,.268,.379
,,,,,,,,,,,V. Scott IICF,3,1,2,0,0,1,0,.271,.344,.375
,,,,,,,,,,,team,38,11,16,10,1,2,3,,,
S. KwanLF,2,0,1,0,0,0,0,.313,.375,.429,R. JeffersC,2,1,1,0,0,0,1,.271,.347,.411
A. Martinez2B,2,1,1,0,0,0,1,.298,.327,.394,B. LeeSS,2,0,0,0,0,0,1,.246,.287,.386
J. Ramirez3B,2,0,0,0,0,0,0,.293,.355,.512,R. LewisDH,1,0,0,0,0,1,0,.200,.273,.300
K. ManzardoDH,1,0,1,1,0,0,0,.227,.313,.504,T. France1B,2,0,1,1,0,0,0,.256,.319,.357
C. Santana1B,1,0,0,0,0,0,1,.221,.328,.318,T. LarnachLF,1,0,0,0,0,0,0,.243,.323,.410
N. JonesCF,1,0,0,0,0,0,0,.179,.281,.292,J. Bride3B,1,0,1,0,0,0,0,.314,.359,.371
G. AriasSS,1,0,0,0,0,0,0,.253,.311,.390,C. McCuskerRF,1,0,0,0,0,0,1,.000,.000,.000
B. NaylorC,1,0,0,0,0,0,1,.189,.293,.396,H. BaderCF,1,1,0,0,0,0,0,.277,.363,.429
W. BrennanRF,1,0,0,0,0,0,0,.000,.091,.000,W. Castro2B,1,0,1,1,0,0,0,.242,.312,.384
team,12,1,3,1,0,0,3,,,,team,12,2,4,2,0,1,3,,,
P. Crow-ArmstrongCF,5,0,0,0,0,0,3,.282,.317,.569,J. SánchezRF,5,2,3,4,1,0,2,.240,.330,.340
K. TuckerRF,4,0,0,0,0,1,1,.258,.371,.511,A. RamirezC,4,1,1,1,1,0,2,.267,.337,.593
S. SuzukiLF,4,0,1,0,0,1,1,.243,.299,.508,O. Lopez2B,4,0,1,1,0,0,1,.231,.291,.350
M. Busch1B,4,2,1,0,0,1,1,.255,.356,.464,K. StowersLF,4,0,1,0,0,0,1,.303,.379,.561
D. SwansonSS,5,1,2,0,0,0,0,.257,.317,.470,E. Wagaman1B,4,0,0,0,0,0,2,.242,.295,.379
N. Hoerner2B,5,2,2,0,0,0,0,.293,.335,.368,C. Norby3B,4,1,1,0,0,0,2,.263,.298,.414
M. BallesterosDH,4,0,2,1,0,0,1,.188,.278,.188,L. HicksDH,4,1,1,1,0,0,1,.280,.348,.500
M. AmayaC,3,2,2,5,1,1,1,.287,.323,.529,D. HillCF,4,1,2,0,0,0,1,.197,.258,.344
M. Shaw3B,4,0,2,1,0,0,1,.194,.306,.274,J. SanojaSS,3,2,1,1,0,1,0,.240,.280,.310
team,38,7,12,7,1,4,9,,,,team,36,8,11,8,2,1,12,,,
J. PenaSS,4,0,3,0,0,0,0,.309,.362,.455,Y. DiazDH,4,1,2,0,0,0,0,.249,.297,.401
I. Paredes3B,4,0,2,0,0,0,0,.265,.375,.435,J. CaballeroRF-LF,4,0,1,1,0,0,2,.260,.333,.385
J. Altuve2B,4,0,0,0,0,0,1,.236,.290,.337,C. MorelLF,3,0,0,0,0,0,0,.204,.286,.336
C. Walker1B,4,0,0,0,0,0,0,.202,.276,.347,bJ. LowePH-RF,1,0,0,0,0,0,0,.300,.333,.500
Y. DiazDH,4,0,0,0,0,0,1,.224,.247,.366,J. Caminero3B,4,0,1,0,0,0,2,.235,.265,.412
V. CaratiniC,4,1,1,1,1,0,1,.256,.348,.423,B. Lowe2B,4,1,1,0,0,0,0,.218,.274,.358
J. MeyersCF,3,2,2,1,1,1,0,.301,.368,.426,D. JansenC,2,1,1,2,1,1,0,.186,.331,.299
C. SmithRF,4,1,2,1,0,0,0,.243,.339,.378,C. SimpsonPR-CF,0,0,0,0,0,0,0,.301,.327,.344
C. McCormickLF,3,0,1,1,0,0,0,.235,.350,.265,C. Mead1B,4,0,1,0,0,0,1,.175,.243,.190
team,34,4,11,4,2,1,3,,,,T. WallsSS,4,0,0,0,0,0,1,.191,.280,.235
,,,,,,,,,,,K. MisnerCF,2,0,0,0,0,0,2,.238,.284,.400
,,,,,,,,,,,aJ. ArandaPH,1,0,0,0,0,0,1,.309,.394,.504
,,,,,,,,,,,B. RortvedtC,1,0,0,0,0,0,0,.094,.186,.113
,,,,,,,,,,,team,34,3,7,3,1,1,9,,,
J. IndiaDH,3,0,1,0,0,1,1,.240,.333,.317,H. RamosLF,4,0,1,0,0,0,0,.292,.358,.489
C. BiggioPR-DH,0,1,0,0,0,0,0,.177,.311,.242,W. FloresDH,4,0,1,0,0,0,1,.257,.322,.449
B. Witt Jr.SS,4,0,1,0,0,0,0,.302,.369,.508,J. LeeCF,4,0,1,1,0,0,1,.276,.317,.465
V. Pasquantino1B,4,1,2,2,1,0,0,.228,.272,.392,M. Chapman3B,4,0,0,0,0,0,1,.216,.337,.398
S. PerezC,4,0,0,0,0,0,2,.218,.254,.324,W. AdamesSS,3,0,0,0,0,1,1,.219,.302,.353
M. Garcia3B,4,1,2,0,0,0,2,.306,.374,.482,C. Schmitt1B,2,0,1,0,0,1,0,.200,.259,.320
M. CanhaLF,3,0,2,0,0,0,0,.296,.371,.333,aL. Wade Jr.PH,1,0,1,0,0,0,0,.172,.271,.287
D. BlancoPR-LF,0,0,0,0,0,0,0,.333,.333,.667,T. Fitzgerald2B,3,0,0,0,0,1,0,.286,.350,.429
M. Massey2B,4,0,0,0,0,0,1,.199,.218,.269,L. MatosRF,3,0,0,0,0,0,0,.154,.203,.323
H. RenfroeRF,3,0,0,0,0,1,1,.173,.234,.224,bM. YastrzemskiPH,1,0,0,0,0,0,1,.274,.376,.438
K. IsbelCF,4,0,2,1,0,0,0,.278,.286,.435,S. HuffC,3,1,1,0,0,0,2,.200,.245,.289
team,33,3,10,3,1,2,7,,,,team,32,1,6,1,0,3,7,,,
J.P. CrawfordSS,3,1,1,0,0,2,1,.271,.383,.381,C. MeidrothSS,3,1,1,0,0,1,1,.286,.375,.357
J. PolancoDH,3,0,1,1,0,0,0,.314,.359,.619,M. ThaissC,3,0,1,0,0,1,1,.215,.376,.304
aM. GarverPH-DH,2,1,1,0,0,0,0,.222,.356,.278,M. Vargas3B,4,0,0,0,0,0,0,.239,.321,.411
J. RodriguezCF,4,1,1,4,1,0,0,.235,.313,.412,L. Robert Jr.CF,4,0,1,0,0,0,0,.186,.281,.308
C. RaleighC,4,0,0,0,0,0,1,.241,.362,.560,J. PalaciosRF,4,0,1,0,0,0,1,.198,.301,.272
R. ArozarenaLF,4,0,0,0,0,0,1,.236,.372,.414,A. VaughnDH,4,0,1,1,0,0,0,.185,.215,.315
R. Tellez1B,3,0,0,0,0,1,1,.196,.259,.471,A. SlaterLF,2,0,0,0,0,0,2,.227,.227,.455
L. TaverasRF,4,0,0,0,0,0,0,.139,.179,.194,aE. QueroPH,1,0,0,0,0,0,1,.277,.368,.313
D. Moore2B,4,0,1,0,0,0,1,.284,.342,.510,M. TaylorLF,1,0,0,0,0,0,1,.196,.253,.348
B. Williamson3B,4,2,3,0,0,0,0,.248,.275,.314,J. Rojas2B,3,0,0,0,0,0,1,.158,.238,.158
team,35,5,8,5,1,3,5,,,,T. Elko1B,3,0,0,0,0,0,0,.167,.200,.417
,,,,,,,,,,,team,32,1,5,1,0,2,8,,,
