,player,1_RBI_count_over,2_RBI_count_over,3_RBI_count_over,4_RBI_count_over,games_played_over,1_RBI_rate_over,2_RBI_rate_over,3_RBI_rate_over,4_RBI_rate_over,1_RBI_count_under,2_RBI_count_under,3_RBI_count_under,4_RBI_count_under,games_played_under,1_RBI_rate_under,2_RBI_rate_under,3_RBI_rate_under,4_RBI_rate_under
73,Javier Baez,12,7,2,2,40,0.3,0.175,0.05,0.05,9,6,2,1,52,0.17307692307692307,0.11538461538461539,0.038461538461538464,0.019230769230769232
74,Jhonkensy Noel,9,5,1,0,36,0.25,0.1388888888888889,0.027777777777777776,0.0,12,3,2,1,56,0.21428571428571427,0.05357142857142857,0.03571428571428571,0.017857142857142856
75,Joc Pederson,12,3,1,0,45,0.26666666666666666,0.06666666666666667,0.022222222222222223,0.0,12,5,0,0,53,0.22641509433962265,0.09433962264150944,0.0,0.0
76,Joey Bart,13,1,0,0,38,0.34210526315789475,0.02631578947368421,0.0,0.0,15,8,3,1,49,0.30612244897959184,0.16326530612244897,0.061224489795918366,0.02040816326530612
77,Joey Ortiz,14,3,1,0,53,0.2641509433962264,0.05660377358490566,0.018867924528301886,0.0,12,4,2,0,49,0.24489795918367346,0.08163265306122448,0.04081632653061224,0.0
78,Jonah Heim,14,7,1,0,50,0.28,0.14,0.02,0.0,9,2,1,0,42,0.21428571428571427,0.047619047619047616,0.023809523809523808,0.0
79,Jonathan India,11,6,1,1,50,0.22,0.12,0.02,0.02,12,1,0,0,58,0.20689655172413793,0.017241379310344827,0.0,0.0
80,Jordan Walker,10,3,1,0,31,0.3225806451612903,0.0967741935483871,0.03225806451612903,0.0,6,5,1,0,31,0.1935483870967742,0.16129032258064516,0.03225806451612903,0.0
81,Jorge Soler,20,8,5,1,50,0.4,0.16,0.1,0.02,11,2,0,0,52,0.21153846153846154,0.038461538461538464,0.0,0.0
82,Jose Altuve,18,4,1,0,46,0.391304347826087,0.08695652173913043,0.021739130434782608,0.0,10,4,1,0,59,0.1694915254237288,0.06779661016949153,0.01694915254237288,0.0
83,Jose Caballero,14,3,1,1,39,0.358974358974359,0.07692307692307693,0.02564102564102564,0.02564102564102564,9,3,1,1,58,0.15517241379310345,0.05172413793103448,0.017241379310344827,0.017241379310344827
84,Jose Iglesias,10,5,0,0,49,0.20408163265306123,0.10204081632653061,0.0,0.0,5,1,0,0,37,0.13513513513513514,0.02702702702702703,0.0,0.0
85,Josh Jung,5,0,0,0,39,0.1282051282051282,0.0,0.0,0.0,4,1,0,0,33,0.12121212121212122,0.030303030303030304,0.0,0.0
86,Josh Naylor,24,10,4,2,53,0.4528301886792453,0.18867924528301888,0.07547169811320754,0.03773584905660377,21,9,2,1,63,0.3333333333333333,0.14285714285714285,0.031746031746031744,0.015873015873015872
87,Josh Rojas,11,3,1,0,49,0.22448979591836735,0.061224489795918366,0.02040816326530612,0.0,5,1,0,0,68,0.07352941176470588,0.014705882352941176,0.0,0.0
88,Julio Rodriguez,18,8,3,2,46,0.391304347826087,0.17391304347826086,0.06521739130434782,0.043478260869565216,14,7,0,0,49,0.2857142857142857,0.14285714285714285,0.0,0.0
89,Jung Hoo Lee,16,3,3,1,50,0.32,0.06,0.06,0.02,14,5,3,1,45,0.3111111111111111,0.1111111111111111,0.06666666666666667,0.022222222222222223
90,Keibert Ruiz,24,8,2,0,52,0.46153846153846156,0.15384615384615385,0.038461538461538464,0.0,12,4,1,0,53,0.22641509433962265,0.07547169811320754,0.018867924528301886,0.0
91,Kerry Carpenter,12,6,4,3,33,0.36363636363636365,0.18181818181818182,0.12121212121212122,0.09090909090909091,13,6,2,0,42,0.30952380952380953,0.14285714285714285,0.047619047619047616,0.0
92,Korey Lee,6,2,0,0,31,0.1935483870967742,0.06451612903225806,0.0,0.0,6,1,0,0,34,0.17647058823529413,0.029411764705882353,0.0,0.0
93,Kyle Isbel,16,4,1,0,55,0.2909090909090909,0.07272727272727272,0.01818181818181818,0.0,8,2,1,0,47,0.1702127659574468,0.0425531914893617,0.02127659574468085,0.0
94,Kyle Schwarber,18,8,4,2,36,0.5,0.2222222222222222,0.1111111111111111,0.05555555555555555,22,10,5,1,60,0.36666666666666664,0.16666666666666666,0.08333333333333333,0.016666666666666666
95,Kyle Stowers,11,4,4,3,40,0.275,0.1,0.1,0.075,8,3,1,0,42,0.19047619047619047,0.07142857142857142,0.023809523809523808,0.0
96,LaMonte Wade Jr.,9,1,1,1,36,0.25,0.027777777777777776,0.027777777777777776,0.027777777777777776,11,6,1,0,56,0.19642857142857142,0.10714285714285714,0.017857142857142856,0.0
97,Lane Thomas,10,3,3,1,38,0.2631578947368421,0.07894736842105263,0.07894736842105263,0.02631578947368421,11,3,0,0,51,0.21568627450980393,0.058823529411764705,0.0,0.0
98,Lars Nootbaar,14,5,1,0,41,0.34146341463414637,0.12195121951219512,0.024390243902439025,0.0,15,5,3,1,62,0.24193548387096775,0.08064516129032258,0.04838709677419355,0.016129032258064516
99,Lawrence Butler,22,11,4,1,52,0.4230769230769231,0.21153846153846154,0.07692307692307693,0.019230769230769232,16,5,2,2,60,0.26666666666666666,0.08333333333333333,0.03333333333333333,0.03333333333333333
100,Logan O'Hoppe,11,5,1,0,32,0.34375,0.15625,0.03125,0.0,12,4,1,1,59,0.2033898305084746,0.06779661016949153,0.01694915254237288,0.01694915254237288
101,Lourdes Gurriel Jr.,15,7,4,3,35,0.42857142857142855,0.2,0.11428571428571428,0.08571428571428572,18,5,2,0,54,0.3333333333333333,0.09259259259259259,0.037037037037037035,0.0
102,Luis Garcia Jr.,16,10,3,0,49,0.32653061224489793,0.20408163265306123,0.061224489795918366,0.0,13,4,2,1,58,0.22413793103448276,0.06896551724137931,0.034482758620689655,0.017241379310344827
103,Luis Robert Jr.,14,4,1,1,50,0.28,0.08,0.02,0.02,11,2,2,2,56,0.19642857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571
104,MJ Melendez,11,1,0,0,40,0.275,0.025,0.0,0.0,5,2,2,0,33,0.15151515151515152,0.06060606060606061,0.06060606060606061,0.0
105,Maikel Garcia,16,6,2,0,59,0.2711864406779661,0.1016949152542373,0.03389830508474576,0.0,11,0,0,0,54,0.2037037037037037,0.0,0.0,0.0
106,Manny Machado,30,13,4,0,61,0.4918032786885246,0.21311475409836064,0.06557377049180328,0.0,19,8,3,2,49,0.3877551020408163,0.16326530612244897,0.061224489795918366,0.04081632653061224
107,Masyn Winn,12,3,1,1,42,0.2857142857142857,0.07142857142857142,0.023809523809523808,0.023809523809523808,13,6,0,0,53,0.24528301886792453,0.11320754716981132,0.0,0.0
108,Matt Chapman,13,8,3,1,41,0.3170731707317073,0.1951219512195122,0.07317073170731707,0.024390243902439025,20,10,2,0,67,0.29850746268656714,0.14925373134328357,0.029850746268656716,0.0
109,Mauricio Dubon,10,1,0,0,43,0.23255813953488372,0.023255813953488372,0.0,0.0,7,3,0,0,45,0.15555555555555556,0.06666666666666667,0.0,0.0
110,Max Kepler,9,4,0,0,35,0.2571428571428571,0.11428571428571428,0.0,0.0,9,3,1,1,43,0.20930232558139536,0.06976744186046512,0.023255813953488372,0.023255813953488372
111,Max Schuemann,8,3,1,1,45,0.17777777777777778,0.06666666666666667,0.022222222222222223,0.022222222222222223,4,1,1,0,52,0.07692307692307693,0.019230769230769232,0.019230769230769232,0.0
112,Michael A. Taylor,5,1,1,0,43,0.11627906976744186,0.023255813953488372,0.023255813953488372,0.0,5,3,1,0,43,0.11627906976744186,0.06976744186046512,0.023255813953488372,0.0
113,Michael Massey,16,3,0,0,54,0.2962962962962963,0.05555555555555555,0.0,0.0,11,2,1,0,48,0.22916666666666666,0.041666666666666664,0.020833333333333332,0.0
114,Michael Toglia,14,7,3,2,40,0.35,0.175,0.075,0.05,16,7,2,0,75,0.21333333333333335,0.09333333333333334,0.02666666666666667,0.0
115,Mike Yastrzemski,12,3,0,0,44,0.2727272727272727,0.06818181818181818,0.0,0.0,14,9,4,1,60,0.23333333333333334,0.15,0.06666666666666667,0.016666666666666666
116,Noelvi Marte,11,6,2,1,33,0.3333333333333333,0.18181818181818182,0.06060606060606061,0.030303030303030304,7,2,0,0,40,0.175,0.05,0.0,0.0
117,Oneil Cruz,18,4,0,0,38,0.47368421052631576,0.10526315789473684,0.0,0.0,18,9,3,0,63,0.2857142857142857,0.14285714285714285,0.047619047619047616,0.0
118,Oswaldo Cabrera,11,4,1,1,40,0.275,0.1,0.025,0.025,3,1,0,0,35,0.08571428571428572,0.02857142857142857,0.0,0.0
119,Ozzie Albies,12,0,0,0,34,0.35294117647058826,0.0,0.0,0.0,9,2,2,0,31,0.2903225806451613,0.06451612903225806,0.06451612903225806,0.0
120,Pavin Smith,9,3,1,0,35,0.2571428571428571,0.08571428571428572,0.02857142857142857,0.0,5,4,2,1,33,0.15151515151515152,0.12121212121212122,0.06060606060606061,0.030303030303030304
121,Ramon Laureano,13,3,1,0,41,0.3170731707317073,0.07317073170731707,0.024390243902439025,0.0,8,2,1,0,36,0.2222222222222222,0.05555555555555555,0.027777777777777776,0.0
122,Randy Arozarena,17,4,0,0,44,0.38636363636363635,0.09090909090909091,0.0,0.0,17,5,4,1,62,0.27419354838709675,0.08064516129032258,0.06451612903225806,0.016129032258064516
123,Riley Greene,17,7,3,1,47,0.3617021276595745,0.14893617021276595,0.06382978723404255,0.02127659574468085,17,6,4,0,51,0.3333333333333333,0.11764705882352941,0.0784313725490196,0.0
124,Ryan Jeffers,12,6,2,0,36,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.0,13,4,1,1,50,0.26,0.08,0.02,0.02
125,Ryan McMahon,9,2,1,0,32,0.28125,0.0625,0.03125,0.0,20,1,0,0,77,0.2597402597402597,0.012987012987012988,0.0,0.0
126,Ryan O'Hearn,25,15,4,0,93,0.26881720430107525,0.16129032258064516,0.043010752688172046,0.0,22,6,3,0,96,0.22916666666666666,0.0625,0.03125,0.0
127,Sal Frelick,12,3,0,0,57,0.21052631578947367,0.05263157894736842,0.0,0.0,7,1,0,0,44,0.1590909090909091,0.022727272727272728,0.0,0.0
128,Salvador Perez,27,13,3,0,58,0.46551724137931033,0.22413793103448276,0.05172413793103448,0.0,15,7,3,1,56,0.26785714285714285,0.125,0.05357142857142857,0.017857142857142856
129,Santiago Espinal,11,3,0,0,38,0.2894736842105263,0.07894736842105263,0.0,0.0,9,5,0,0,47,0.19148936170212766,0.10638297872340426,0.0,0.0
130,Seiya Suzuki,23,12,5,2,53,0.4339622641509434,0.22641509433962265,0.09433962264150944,0.03773584905660377,18,8,3,0,52,0.34615384615384615,0.15384615384615385,0.057692307692307696,0.0
131,Shohei Ohtani,22,11,3,3,49,0.4489795918367347,0.22448979591836735,0.061224489795918366,0.061224489795918366,24,12,4,1,61,0.39344262295081966,0.19672131147540983,0.06557377049180328,0.01639344262295082
132,Spencer Horwitz,13,4,1,0,37,0.35135135135135137,0.10810810810810811,0.02702702702702703,0.0,10,4,1,0,38,0.2631578947368421,0.10526315789473684,0.02631578947368421,0.0
133,Spencer Steer,20,7,1,1,44,0.45454545454545453,0.1590909090909091,0.022727272727272728,0.022727272727272728,11,5,2,0,59,0.1864406779661017,0.0847457627118644,0.03389830508474576,0.0
134,Spencer Torkelson,21,8,2,0,40,0.525,0.2,0.05,0.0,12,6,4,0,42,0.2857142857142857,0.14285714285714285,0.09523809523809523,0.0
135,Steven Kwan,11,4,2,1,39,0.28205128205128205,0.10256410256410256,0.05128205128205128,0.02564102564102564,15,3,0,0,67,0.22388059701492538,0.04477611940298507,0.0,0.0
136,TJ Friedl,18,8,2,1,42,0.42857142857142855,0.19047619047619047,0.047619047619047616,0.023809523809523808,15,6,2,0,52,0.28846153846153844,0.11538461538461539,0.038461538461538464,0.0
137,Taylor Walls,9,1,1,0,45,0.2,0.022222222222222223,0.022222222222222223,0.0,7,2,0,0,55,0.12727272727272726,0.03636363636363636,0.0,0.0
138,Taylor Ward,25,5,1,0,92,0.2717391304347826,0.05434782608695652,0.010869565217391304,0.0,23,5,3,1,103,0.22330097087378642,0.04854368932038835,0.02912621359223301,0.009708737864077669
139,Teoscar Hernandez,18,9,5,1,39,0.46153846153846156,0.23076923076923078,0.1282051282051282,0.02564102564102564,23,9,4,2,58,0.39655172413793105,0.15517241379310345,0.06896551724137931,0.034482758620689655
140,Travis Jankowski,2,1,0,0,32,0.0625,0.03125,0.0,0.0,2,1,1,0,33,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.0
141,Trent Grisham,13,7,4,2,37,0.35135135135135137,0.1891891891891892,0.10810810810810811,0.05405405405405406,9,4,0,0,36,0.25,0.1111111111111111,0.0,0.0
142,Trevor Larnach,14,4,2,2,45,0.3111111111111111,0.08888888888888889,0.044444444444444446,0.044444444444444446,13,6,3,0,57,0.22807017543859648,0.10526315789473684,0.05263157894736842,0.0
143,Trey Sweeney,10,4,3,1,35,0.2857142857142857,0.11428571428571428,0.08571428571428572,0.02857142857142857,11,3,0,0,39,0.28205128205128205,0.07692307692307693,0.0,0.0
144,Triston Casas,10,2,1,1,34,0.29411764705882354,0.058823529411764705,0.029411764705882353,0.029411764705882353,9,4,3,0,36,0.25,0.1111111111111111,0.08333333333333333,0.0
145,Ty France,23,5,0,0,48,0.4791666666666667,0.10416666666666667,0.0,0.0,11,2,0,0,57,0.19298245614035087,0.03508771929824561,0.0,0.0
146,Tyler Fitzgerald,12,5,1,1,32,0.375,0.15625,0.03125,0.03125,13,3,1,0,50,0.26,0.06,0.02,0.0
147,Victor Robles,11,3,0,0,32,0.34375,0.09375,0.0,0.0,6,4,0,0,33,0.18181818181818182,0.12121212121212122,0.0,0.0
