away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
D. HamiltonPR-2B,0,1,0,0,0,0,0,.000,.000,.000,K. PillarCF,3,1,2,1,0,0,0,.667,.667,.667
W. AbreuRF,3,3,3,4,2,1,0,1.000,1.000,3.000,aJ. PedersonPH,1,0,0,0,0,0,0,.000,.000,.000
C. WongC,4,0,1,0,0,0,1,.250,.250,.250,K. HigashiokaC,4,0,1,1,0,0,0,.250,.250,.500
C. RafaelaCF,4,0,0,1,0,0,2,.000,.000,.000,J. SmithSS,3,0,0,0,0,0,2,.000,.000,.000
team,33,5,6,5,2,3,13,,,,team,33,2,7,2,0,2,7,,,
T. PhamLF,3,0,1,0,0,1,2,.333,.600,.667,X. EdwardsSS,3,1,0,1,0,2,1,.000,.400,.000
B. ReynoldsRF,4,0,1,2,0,1,0,.250,.400,.250,K. StowersLF,3,1,1,1,0,2,2,.333,.600,.333
O. CruzCF,4,0,0,0,0,1,1,.000,.200,.000,J. BrideDH,3,0,1,0,0,1,0,.333,.500,.333
J. BartC,4,1,0,0,0,0,1,.000,.200,.000,M. Mervis1B,4,0,0,0,0,0,3,.000,.000,.000
A. McCutchenDH,4,0,0,0,0,0,0,.000,.000,.000,O. Lopez2B,3,1,1,1,0,1,1,.333,.500,.333
N. Gonzales2B,3,1,1,2,1,0,2,.333,.333,1.333,G. ConineRF,2,0,0,0,0,0,1,.000,.000,.000
A. Frazier2B,0,0,0,0,0,1,0,.000,1.000,.000,aD. MyersPH-RF,2,0,1,1,0,0,1,.500,.500,.500
E. Rodriguez1B,3,0,0,0,0,1,3,.000,.250,.000,D. HillCF,3,1,1,0,0,1,0,.333,.500,.667
K. Hayes3B,4,1,1,0,0,0,1,.250,.250,.250,G. Pauley3B,4,0,1,0,0,0,1,.250,.250,.250
I. Kiner-FalefaSS,2,1,0,0,0,2,1,.000,.500,.000,N. FortesC,3,0,1,0,0,0,1,.333,.500,1.000
team,31,4,4,4,1,7,11,,,,J. SanojaPR,0,1,0,0,0,0,0,.000,.000,.000
,,,,,,,,,,,team,30,5,7,4,0,7,11,,,
L. Wade Jr.1B,4,0,0,0,0,0,1,.000,.000,.000,T. FriedlCF,5,1,2,1,0,0,1,.400,.400,.400
W. AdamesSS,4,0,0,0,0,0,3,.000,.000,.000,M. McLain2B,5,0,0,0,0,0,2,.000,.000,.000
J. LeeCF,2,2,0,0,0,2,2,.000,.500,.000,E. De La CruzSS,3,2,1,0,0,1,1,.333,.500,.333
M. Chapman3B,4,1,1,0,0,0,1,.250,.250,.250,G. LuxLF,3,0,1,0,0,1,0,.333,.500,.333
H. RamosLF,4,1,1,2,1,0,3,.250,.250,1.000,B. DunnLF,0,0,0,0,0,0,0,.000,.000,.000
P. BaileyC,4,1,1,1,0,0,2,.250,.250,.250,J. Candelario3B,3,0,2,3,0,1,1,.667,.750,.667
W. FloresDH,4,1,1,3,1,0,1,.250,.250,1.000,S. SteerDH,4,0,0,0,0,0,3,.000,.000,.000
M. YastrzemskiRF,4,0,2,0,0,0,2,.500,.500,.500,C. Encarnacion-Strand1B,4,0,2,0,0,0,0,.500,.500,.750
T. Fitzgerald2B,3,0,0,0,0,0,2,.000,.000,.000,J. FraleyRF,4,0,0,0,0,0,0,.000,.000,.000
