,player,1_hits_count,2_hits_count,3_hits_count,4_hits_count,games_played
316,Jonah Heim,31,12,0,0,53
317,Jonatan Clase,6,1,1,0,11
318,Jonathan Aranda,20,9,2,0,29
319,Jonathan India,26,15,2,0,47
320,Jonathan Ornelas,2,0,0,0,7
321,Jonny DeLuca,18,6,2,0,29
322,Jorbit Vivas,1,1,0,0,6
323,Jordan Beck,7,1,0,0,17
324,Jordan Walker,17,6,0,0,23
325,Jordan Westburg,10,5,3,1,23
326,Jordyn Adams,4,1,0,0,7
327,Jorge Barrosa,0,0,0,0,3
328,Jorge Mateo,1,0,0,0,12
329,Jorge Polanco,27,9,3,0,49
330,Jorge Soler,34,10,4,0,53
331,Jose Altuve,40,18,4,0,48
332,Jose Azocar,3,1,0,0,9
333,Jose Barrero,0,0,0,0,1
334,Jose Caballero,21,3,0,0,36
335,Jose Devers,1,0,0,0,3
336,Jose Fermin,2,0,0,0,9
337,Jose Herrera,9,4,1,0,22
338,Jose Iglesias,38,15,1,1,49
339,Jose Miranda,13,4,1,0,27
340,Jose Ramirez,33,16,3,0,50
341,Jose Siri,5,2,0,0,28
342,Jose Tena,17,8,1,0,34
343,Jose Trevino,14,5,1,0,23
344,Josh Bell,25,5,1,0,52
345,Josh Hader,0,0,0,0,2
346,Josh Jung,22,7,1,0,39
347,Josh Lowe,20,8,0,0,29
348,Josh Naylor,34,16,4,0,47
349,Josh Rojas,25,7,1,0,52
350,Josh Smith,35,12,6,1,58
351,Joshua Palacios,13,3,0,0,27
352,Juan Soto,71,30,6,0,110
353,Juan Yepez,17,6,2,0,30
354,Julio Rodriguez,36,15,7,2,47
355,Jung Hoo Lee,37,14,4,0,56
356,Junior Caminero,26,9,4,0,34
357,Jurickson Profar,23,7,0,0,38
358,Justin Foscue,0,0,0,0,7
359,Justin Martinez,0,0,0,0,1
360,Justin Turner,25,10,2,0,36
361,Justyn-Henry Malloy,9,4,0,0,32
362,Kameron Misner,9,3,2,0,17
363,Ke'Bryan Hayes,24,10,1,0,35
364,Keibert Ruiz,46,17,6,0,57
365,Kerry Carpenter,19,9,3,2,30
366,Keston Hiura,1,0,0,0,2
367,Ketel Marte,17,6,2,0,26
368,Kevin Alcantara,1,0,0,0,1
369,Kevin Kiermaier,9,4,0,0,25
370,Kevin Newman,8,3,1,0,28
371,Kevin Pillar,5,2,0,0,30
372,Kody Clemens,6,1,1,0,17
373,Korey Lee,11,4,0,0,31
374,Kris Bryant,6,2,1,0,10
375,Kris Bubic,0,0,0,0,1
376,Kristian Campbell,15,8,0,0,23
377,Kyle Farmer,10,4,0,0,24
378,Kyle Higashioka,21,5,1,0,37
379,Kyle Isbel,27,9,4,0,54
380,Kyle Manzardo,16,5,1,0,28
381,Kyle McCann,4,0,0,0,8
382,Kyle Schwarber,23,7,1,1,37
383,Kyle Stowers,23,9,2,0,39
384,Kyle Tucker,13,6,5,3,26
385,Kyren Paris,10,3,0,0,16
386,LaMonte Wade Jr.,16,8,1,0,35
387,Lane Thomas,16,6,2,0,31
388,Lars Nootbaar,20,9,0,0,31
389,Lawrence Butler,43,21,5,1,56
390,Lenyn Sosa,35,15,0,0,55
391,Leo Jimenez,19,5,0,0,33
392,Leo Rivas,10,5,1,0,34
393,Leody Taveras,30,10,2,0,59
394,Liam Hicks,7,1,1,1,13
395,Liover Peguero,1,0,0,0,2
396,Livan Soto,0,0,0,0,6
397,Logan Driscoll,3,0,0,0,9
398,Logan O'Hoppe,18,9,4,1,35
399,Lourdes Gurriel Jr.,25,13,2,0,35
400,Luis Arraez,44,25,12,2,57
401,Luis Campusano,4,2,0,0,13
402,Luis De Los Santos,1,0,0,0,6
403,Luis Garcia Jr.,38,17,3,1,56
404,Luis Guillorme,4,0,0,0,15
405,Luis Matos,5,1,0,0,19
406,Luis Rengifo,8,4,1,0,17
407,Luis Robert Jr.,29,8,3,0,49
408,Luis Torrens,17,5,3,0,37
409,Luis Urias,12,1,1,0,19
410,Luis Vazquez,0,0,0,0,5
411,Luisangel Acuna,19,6,1,0,31
412,Luke Keaschall,3,0,0,0,4
413,Luke Maile,3,0,0,0,8
414,Luke Raley,21,8,1,0,40
